ED,Reported As,Reporting,Jackson R. Halebian,Jessica Tomlinson,Lorance Hockert,Joy Zagoren,David Bamberger,Marilyn Diamond,Lee Wiggins,Patricia Carlin,Amber Ravenel,Elana Schwartz,Miriam Stern,Samantha W. Halebian,Teresa Malyshev,Chloe Pashman,David A. Stampley,Scattered,Lisa K. Pass,Deborah Mallow,Frederick W. Gerkens III,Courtney Booth,Abraham H. Salcedo,Lynne C. Feibelmann,Joan M. Roberts,Alfred R. Fuente,Total Votes,p_Jackson R. Halebian,p_Jessica Tomlinson,p_Lorance Hockert,p_Joy Zagoren,p_David Bamberger,p_Marilyn Diamond,p_Lee Wiggins,p_Patricia Carlin,p_Amber Ravenel,p_Elana Schwartz,p_Miriam Stern,p_Samantha W. Halebian,p_Teresa Malyshev,p_Chloe Pashman,p_David A. Stampley,p_Scattered,p_Lisa K. Pass,p_Deborah Mallow,p_Frederick W. Gerkens III,p_Courtney Booth,p_Abraham H. Salcedo,p_Lynne C. Feibelmann,p_Joan M. Roberts,p_Alfred R. Fuente,winner,winner_p
76046,76046,100,19,32,17,26,29,36,17,32,33,30,32,24,20,22,11,0,33,34,24,31,18,29,25,19,593,0.03204047217537943,0.05396290050590219,0.02866779089376054,0.04384485666104553,0.048903878583473864,0.06070826306913996,0.02866779089376054,0.05396290050590219,0.05564924114671164,0.050590219224283306,0.05396290050590219,0.04047217537942664,0.03372681281618887,0.03709949409780776,0.01854974704890388,0.0,0.05564924114671164,0.05733558178752108,0.04047217537942664,0.05227655986509275,0.03035413153456998,0.048903878583473864,0.04215851602023609,0.03204047217537943,Marilyn Diamond,0.06070826306913996
76047,76047,100,8,15,4,8,6,12,8,11,8,8,10,11,7,9,5,0,12,12,6,8,7,8,8,7,198,0.04040404040404041,0.07575757575757576,0.020202020202020204,0.04040404040404041,0.030303030303030304,0.06060606060606061,0.04040404040404041,0.05555555555555555,0.04040404040404041,0.04040404040404041,0.050505050505050504,0.05555555555555555,0.03535353535353535,0.045454545454545456,0.025252525252525252,0.0,0.06060606060606061,0.06060606060606061,0.030303030303030304,0.04040404040404041,0.03535353535353535,0.04040404040404041,0.04040404040404041,0.03535353535353535,Jessica Tomlinson,0.07575757575757576
76048,76048,100,12,22,3,9,11,14,8,17,15,4,12,12,6,8,9,0,13,14,12,18,3,5,9,6,242,0.049586776859504134,0.09090909090909091,0.012396694214876033,0.0371900826446281,0.045454545454545456,0.05785123966942149,0.03305785123966942,0.07024793388429752,0.06198347107438017,0.01652892561983471,0.049586776859504134,0.049586776859504134,0.024793388429752067,0.03305785123966942,0.0371900826446281,0.0,0.05371900826446281,0.05785123966942149,0.049586776859504134,0.0743801652892562,0.012396694214876033,0.02066115702479339,0.0371900826446281,0.024793388429752067,Jessica Tomlinson,0.09090909090909091
76049,76049,100,15,21,16,25,23,25,15,24,19,23,27,17,16,25,10,0,22,19,12,20,16,19,24,20,453,0.033112582781456956,0.046357615894039736,0.03532008830022075,0.05518763796909492,0.05077262693156733,0.05518763796909492,0.033112582781456956,0.052980132450331126,0.04194260485651214,0.05077262693156733,0.059602649006622516,0.037527593818984545,0.03532008830022075,0.05518763796909492,0.02207505518763797,0.0,0.04856512141280353,0.04194260485651214,0.026490066225165563,0.04415011037527594,0.03532008830022075,0.04194260485651214,0.052980132450331126,0.04415011037527594,Miriam Stern,0.059602649006622516
76050,76050,100,8,25,15,17,11,22,10,21,19,19,24,19,17,25,12,1,20,19,13,18,14,16,22,13,400,0.02,0.0625,0.0375,0.0425,0.0275,0.055,0.025,0.0525,0.0475,0.0475,0.06,0.0475,0.0425,0.0625,0.03,0.0025,0.05,0.0475,0.0325,0.045,0.035,0.04,0.055,0.0325,Tie,0.0625
76051,76051,100,15,39,14,19,26,31,16,26,26,23,33,22,13,20,14,0,30,26,16,25,13,22,19,14,502,0.029880478087649404,0.07768924302788845,0.027888446215139442,0.037848605577689244,0.05179282868525897,0.061752988047808766,0.03187250996015936,0.05179282868525897,0.05179282868525897,0.045816733067729085,0.06573705179282868,0.043824701195219126,0.025896414342629483,0.0398406374501992,0.027888446215139442,0.0,0.05976095617529881,0.05179282868525897,0.03187250996015936,0.049800796812749,0.025896414342629483,0.043824701195219126,0.037848605577689244,0.027888446215139442,Jessica Tomlinson,0.07768924302788845
76052,76052,100,8,26,10,24,18,23,13,20,18,25,26,16,15,17,15,0,21,15,14,18,13,16,17,12,400,0.02,0.065,0.025,0.06,0.045,0.0575,0.0325,0.05,0.045,0.0625,0.065,0.04,0.0375,0.0425,0.0375,0.0,0.0525,0.0375,0.035,0.045,0.0325,0.04,0.0425,0.03,Tie,0.065
76053,76053,100,5,13,2,7,11,12,6,10,9,11,9,12,7,8,8,0,8,9,7,10,6,7,4,6,187,0.026737967914438502,0.06951871657754011,0.0106951871657754,0.0374331550802139,0.058823529411764705,0.06417112299465241,0.03208556149732621,0.053475935828877004,0.0481283422459893,0.058823529411764705,0.0481283422459893,0.06417112299465241,0.0374331550802139,0.0427807486631016,0.0427807486631016,0.0,0.0427807486631016,0.0481283422459893,0.0374331550802139,0.053475935828877004,0.03208556149732621,0.0374331550802139,0.0213903743315508,0.03208556149732621,Jessica Tomlinson,0.06951871657754011
76054,76054,100,10,17,5,7,14,14,7,15,20,7,12,12,9,9,5,11,15,13,14,17,5,9,7,8,262,0.03816793893129771,0.0648854961832061,0.019083969465648856,0.026717557251908396,0.05343511450381679,0.05343511450381679,0.026717557251908396,0.05725190839694656,0.07633587786259542,0.026717557251908396,0.04580152671755725,0.04580152671755725,0.03435114503816794,0.03435114503816794,0.019083969465648856,0.04198473282442748,0.05725190839694656,0.04961832061068702,0.05343511450381679,0.0648854961832061,0.019083969465648856,0.03435114503816794,0.026717557251908396,0.030534351145038167,Amber Ravenel,0.07633587786259542
76055,76055,100,15,19,10,15,19,26,15,20,21,17,20,18,13,17,14,1,21,20,13,26,11,14,16,15,396,0.03787878787878788,0.047979797979797977,0.025252525252525252,0.03787878787878788,0.047979797979797977,0.06565656565656566,0.03787878787878788,0.050505050505050504,0.05303030303030303,0.04292929292929293,0.050505050505050504,0.045454545454545456,0.03282828282828283,0.04292929292929293,0.03535353535353535,0.0025252525252525255,0.05303030303030303,0.050505050505050504,0.03282828282828283,0.06565656565656566,0.027777777777777776,0.03535353535353535,0.04040404040404041,0.03787878787878788,Tie,0.06565656565656566
76056,76056,100,6,9,2,3,4,8,4,6,4,6,8,5,4,5,4,0,4,7,1,4,3,6,6,5,114,0.05263157894736842,0.07894736842105263,0.017543859649122806,0.02631578947368421,0.03508771929824561,0.07017543859649122,0.03508771929824561,0.05263157894736842,0.03508771929824561,0.05263157894736842,0.07017543859649122,0.043859649122807015,0.03508771929824561,0.043859649122807015,0.03508771929824561,0.0,0.03508771929824561,0.06140350877192982,0.008771929824561403,0.03508771929824561,0.02631578947368421,0.05263157894736842,0.05263157894736842,0.043859649122807015,Jessica Tomlinson,0.07894736842105263
76057,76057,100,12,22,11,18,25,24,9,20,20,19,22,18,11,13,9,1,20,20,14,20,8,17,13,9,375,0.032,0.058666666666666666,0.029333333333333333,0.048,0.06666666666666667,0.064,0.024,0.05333333333333334,0.05333333333333334,0.050666666666666665,0.058666666666666666,0.048,0.029333333333333333,0.034666666666666665,0.024,0.0026666666666666666,0.05333333333333334,0.05333333333333334,0.037333333333333336,0.05333333333333334,0.021333333333333333,0.04533333333333334,0.034666666666666665,0.024,David Bamberger,0.06666666666666667
76058,76058,100,15,27,10,22,22,32,12,31,27,27,30,21,20,22,14,11,27,29,15,24,13,19,19,12,501,0.029940119760479042,0.05389221556886228,0.01996007984031936,0.043912175648702596,0.043912175648702596,0.06387225548902195,0.023952095808383235,0.06187624750499002,0.05389221556886228,0.05389221556886228,0.059880239520958084,0.041916167664670656,0.03992015968063872,0.043912175648702596,0.027944111776447105,0.021956087824351298,0.05389221556886228,0.05788423153692615,0.029940119760479042,0.04790419161676647,0.02594810379241517,0.03792415169660679,0.03792415169660679,0.023952095808383235,Marilyn Diamond,0.06387225548902195
76059,76059,100,20,31,18,20,24,23,19,26,21,26,23,28,19,20,20,2,30,28,13,28,18,19,20,18,514,0.038910505836575876,0.06031128404669261,0.03501945525291829,0.038910505836575876,0.04669260700389105,0.04474708171206226,0.03696498054474708,0.05058365758754864,0.04085603112840467,0.05058365758754864,0.04474708171206226,0.054474708171206226,0.03696498054474708,0.038910505836575876,0.038910505836575876,0.0038910505836575876,0.058365758754863814,0.054474708171206226,0.02529182879377432,0.054474708171206226,0.03501945525291829,0.03696498054474708,0.038910505836575876,0.03501945525291829,Jessica Tomlinson,0.06031128404669261
76060,76060,100,10,24,10,12,10,16,7,17,13,12,18,17,7,12,11,0,19,16,8,17,8,10,12,7,293,0.034129692832764506,0.08191126279863481,0.034129692832764506,0.040955631399317405,0.034129692832764506,0.05460750853242321,0.023890784982935155,0.05802047781569966,0.04436860068259386,0.040955631399317405,0.06143344709897611,0.05802047781569966,0.023890784982935155,0.040955631399317405,0.03754266211604096,0.0,0.06484641638225255,0.05460750853242321,0.027303754266211604,0.05802047781569966,0.027303754266211604,0.034129692832764506,0.040955631399317405,0.023890784982935155,Jessica Tomlinson,0.08191126279863481
76061,76061,100,9,18,5,10,11,15,7,13,16,11,11,12,8,8,4,0,14,15,10,15,5,13,14,5,249,0.03614457831325301,0.07228915662650602,0.020080321285140562,0.040160642570281124,0.04417670682730924,0.060240963855421686,0.028112449799196786,0.05220883534136546,0.0642570281124498,0.04417670682730924,0.04417670682730924,0.04819277108433735,0.0321285140562249,0.0321285140562249,0.01606425702811245,0.0,0.05622489959839357,0.060240963855421686,0.040160642570281124,0.060240963855421686,0.020080321285140562,0.05220883534136546,0.05622489959839357,0.020080321285140562,Jessica Tomlinson,0.07228915662650602
76062,76062,100,13,9,6,8,14,14,7,9,15,14,13,11,12,10,5,11,13,12,11,12,11,12,8,10,260,0.05,0.03461538461538462,0.023076923076923078,0.03076923076923077,0.05384615384615385,0.05384615384615385,0.026923076923076925,0.03461538461538462,0.057692307692307696,0.05384615384615385,0.05,0.04230769230769231,0.046153846153846156,0.038461538461538464,0.019230769230769232,0.04230769230769231,0.05,0.046153846153846156,0.04230769230769231,0.046153846153846156,0.04230769230769231,0.046153846153846156,0.03076923076923077,0.038461538461538464,Amber Ravenel,0.057692307692307696
76063,76063,100,9,15,11,14,9,11,14,10,11,18,20,10,13,15,11,0,13,10,7,8,14,14,18,13,288,0.03125,0.052083333333333336,0.03819444444444445,0.04861111111111111,0.03125,0.03819444444444445,0.04861111111111111,0.034722222222222224,0.03819444444444445,0.0625,0.06944444444444445,0.034722222222222224,0.04513888888888889,0.052083333333333336,0.03819444444444445,0.0,0.04513888888888889,0.034722222222222224,0.024305555555555556,0.027777777777777776,0.04861111111111111,0.04861111111111111,0.0625,0.04513888888888889,Miriam Stern,0.06944444444444445
76064,76064,100,15,18,6,4,17,20,6,21,19,9,10,17,3,9,4,0,19,19,13,18,5,6,8,5,271,0.055350553505535055,0.06642066420664207,0.02214022140221402,0.014760147601476014,0.06273062730627306,0.07380073800738007,0.02214022140221402,0.07749077490774908,0.07011070110701106,0.033210332103321034,0.03690036900369004,0.06273062730627306,0.01107011070110701,0.033210332103321034,0.014760147601476014,0.0,0.07011070110701106,0.07011070110701106,0.04797047970479705,0.06642066420664207,0.01845018450184502,0.02214022140221402,0.02952029520295203,0.01845018450184502,Patricia Carlin,0.07749077490774908
76065,76065,100,20,26,9,20,24,36,11,26,26,23,26,30,20,19,9,1,26,29,17,22,10,19,16,12,477,0.041928721174004195,0.05450733752620545,0.018867924528301886,0.041928721174004195,0.050314465408805034,0.07547169811320754,0.023060796645702306,0.05450733752620545,0.05450733752620545,0.04821802935010482,0.05450733752620545,0.06289308176100629,0.041928721174004195,0.039832285115303984,0.018867924528301886,0.0020964360587002098,0.05450733752620545,0.06079664570230608,0.03563941299790356,0.04612159329140461,0.020964360587002098,0.039832285115303984,0.033542976939203356,0.025157232704402517,Marilyn Diamond,0.07547169811320754
76066,76066,100,10,20,8,11,12,15,7,17,12,12,16,14,5,9,7,0,13,13,10,15,5,7,13,6,257,0.038910505836575876,0.07782101167315175,0.0311284046692607,0.042801556420233464,0.04669260700389105,0.058365758754863814,0.027237354085603113,0.06614785992217899,0.04669260700389105,0.04669260700389105,0.0622568093385214,0.054474708171206226,0.019455252918287938,0.03501945525291829,0.027237354085603113,0.0,0.05058365758754864,0.05058365758754864,0.038910505836575876,0.058365758754863814,0.019455252918287938,0.027237354085603113,0.05058365758754864,0.023346303501945526,Jessica Tomlinson,0.07782101167315175
76067,76067,100,10,19,10,15,17,17,11,18,20,21,22,15,13,11,5,1,18,14,12,18,9,17,15,10,338,0.029585798816568046,0.05621301775147929,0.029585798816568046,0.04437869822485207,0.05029585798816568,0.05029585798816568,0.03254437869822485,0.05325443786982249,0.05917159763313609,0.0621301775147929,0.0650887573964497,0.04437869822485207,0.038461538461538464,0.03254437869822485,0.014792899408284023,0.0029585798816568047,0.05325443786982249,0.04142011834319527,0.03550295857988166,0.05325443786982249,0.026627218934911243,0.05029585798816568,0.04437869822485207,0.029585798816568046,Miriam Stern,0.0650887573964497
76068,76068,100,8,24,9,15,22,23,10,24,22,23,28,15,16,20,4,0,22,19,12,22,13,18,18,9,396,0.020202020202020204,0.06060606060606061,0.022727272727272728,0.03787878787878788,0.05555555555555555,0.05808080808080808,0.025252525252525252,0.06060606060606061,0.05555555555555555,0.05808080808080808,0.0707070707070707,0.03787878787878788,0.04040404040404041,0.050505050505050504,0.010101010101010102,0.0,0.05555555555555555,0.047979797979797977,0.030303030303030304,0.05555555555555555,0.03282828282828283,0.045454545454545456,0.045454545454545456,0.022727272727272728,Miriam Stern,0.0707070707070707
76069,76069,100,19,25,10,17,24,26,14,27,28,19,21,22,17,19,9,0,27,25,16,27,10,15,18,15,450,0.042222222222222223,0.05555555555555555,0.022222222222222223,0.03777777777777778,0.05333333333333334,0.057777777777777775,0.03111111111111111,0.06,0.06222222222222222,0.042222222222222223,0.04666666666666667,0.04888888888888889,0.03777777777777778,0.042222222222222223,0.02,0.0,0.06,0.05555555555555555,0.035555555555555556,0.06,0.022222222222222223,0.03333333333333333,0.04,0.03333333333333333,Amber Ravenel,0.06222222222222222
76070,76070,100,16,23,13,29,28,29,18,23,18,36,38,24,19,26,8,1,23,21,14,25,20,30,22,19,523,0.030592734225621414,0.04397705544933078,0.0248565965583174,0.055449330783938815,0.05353728489483748,0.055449330783938815,0.03441682600382409,0.04397705544933078,0.03441682600382409,0.06883365200764818,0.07265774378585087,0.045889101338432124,0.036328871892925434,0.0497131931166348,0.015296367112810707,0.0019120458891013384,0.04397705544933078,0.040152963671128104,0.02676864244741874,0.04780114722753346,0.03824091778202677,0.05736137667304015,0.04206500956022945,0.036328871892925434,Miriam Stern,0.07265774378585087
76071,76071,100,14,23,12,14,21,25,10,23,23,23,25,18,14,15,9,0,23,22,11,21,12,14,16,12,400,0.035,0.0575,0.03,0.035,0.0525,0.0625,0.025,0.0575,0.0575,0.0575,0.0625,0.045,0.035,0.0375,0.0225,0.0,0.0575,0.055,0.0275,0.0525,0.03,0.035,0.04,0.03,Tie,0.0625
76072,76072,100,15,31,16,22,27,22,18,24,21,19,23,21,15,19,17,0,24,23,16,21,16,19,24,15,468,0.03205128205128205,0.06623931623931624,0.03418803418803419,0.04700854700854701,0.057692307692307696,0.04700854700854701,0.038461538461538464,0.05128205128205128,0.04487179487179487,0.0405982905982906,0.049145299145299144,0.04487179487179487,0.03205128205128205,0.0405982905982906,0.03632478632478633,0.0,0.05128205128205128,0.049145299145299144,0.03418803418803419,0.04487179487179487,0.03418803418803419,0.0405982905982906,0.05128205128205128,0.03205128205128205,Jessica Tomlinson,0.06623931623931624
76073,76073,100,22,31,7,16,20,26,17,25,24,14,17,22,13,11,13,0,23,20,19,22,13,16,14,16,421,0.052256532066508314,0.07363420427553444,0.0166270783847981,0.03800475059382423,0.047505938242280284,0.06175771971496437,0.040380047505938245,0.05938242280285035,0.057007125890736345,0.0332541567695962,0.040380047505938245,0.052256532066508314,0.030878859857482184,0.026128266033254157,0.030878859857482184,0.0,0.05463182897862233,0.047505938242280284,0.04513064133016627,0.052256532066508314,0.030878859857482184,0.03800475059382423,0.0332541567695962,0.03800475059382423,Jessica Tomlinson,0.07363420427553444
76074,76074,100,14,15,10,13,22,20,11,18,18,21,14,15,12,14,7,1,19,14,17,18,7,15,12,10,337,0.04154302670623145,0.04451038575667656,0.02967359050445104,0.03857566765578635,0.06528189910979229,0.05934718100890208,0.032640949554896145,0.05341246290801187,0.05341246290801187,0.06231454005934718,0.04154302670623145,0.04451038575667656,0.03560830860534125,0.04154302670623145,0.020771513353115726,0.002967359050445104,0.05637982195845697,0.04154302670623145,0.050445103857566766,0.05341246290801187,0.020771513353115726,0.04451038575667656,0.03560830860534125,0.02967359050445104,David Bamberger,0.06528189910979229
76075,76075,100,9,20,11,20,16,23,10,19,21,21,27,15,16,14,13,1,18,22,6,17,7,16,17,12,371,0.02425876010781671,0.05390835579514825,0.029649595687331536,0.05390835579514825,0.0431266846361186,0.06199460916442048,0.026954177897574125,0.05121293800539083,0.05660377358490566,0.05660377358490566,0.07277628032345014,0.04043126684636118,0.0431266846361186,0.03773584905660377,0.03504043126684636,0.0026954177897574125,0.04851752021563342,0.05929919137466307,0.016172506738544475,0.04582210242587601,0.018867924528301886,0.0431266846361186,0.04582210242587601,0.03234501347708895,Miriam Stern,0.07277628032345014
76076,76076,100,9,17,10,14,10,13,14,12,13,17,17,11,12,16,6,9,13,12,6,12,10,11,9,13,286,0.03146853146853147,0.05944055944055944,0.03496503496503497,0.04895104895104895,0.03496503496503497,0.045454545454545456,0.04895104895104895,0.04195804195804196,0.045454545454545456,0.05944055944055944,0.05944055944055944,0.038461538461538464,0.04195804195804196,0.055944055944055944,0.02097902097902098,0.03146853146853147,0.045454545454545456,0.04195804195804196,0.02097902097902098,0.04195804195804196,0.03496503496503497,0.038461538461538464,0.03146853146853147,0.045454545454545456,Tie,0.05944055944055944
76077,76077,100,10,28,11,20,21,24,14,20,21,25,22,17,19,22,22,0,19,22,12,22,13,17,15,14,430,0.023255813953488372,0.06511627906976744,0.02558139534883721,0.046511627906976744,0.04883720930232558,0.05581395348837209,0.03255813953488372,0.046511627906976744,0.04883720930232558,0.05813953488372093,0.05116279069767442,0.03953488372093023,0.044186046511627906,0.05116279069767442,0.05116279069767442,0.0,0.044186046511627906,0.05116279069767442,0.027906976744186046,0.05116279069767442,0.030232558139534883,0.03953488372093023,0.03488372093023256,0.03255813953488372,Jessica Tomlinson,0.06511627906976744
76078,76078,100,13,36,20,27,25,39,23,36,26,32,41,27,24,27,19,0,31,31,12,35,15,24,28,14,605,0.021487603305785124,0.05950413223140496,0.03305785123966942,0.04462809917355372,0.04132231404958678,0.06446280991735537,0.03801652892561983,0.05950413223140496,0.04297520661157025,0.05289256198347107,0.06776859504132231,0.04462809917355372,0.03966942148760331,0.04462809917355372,0.03140495867768595,0.0,0.0512396694214876,0.0512396694214876,0.019834710743801654,0.05785123966942149,0.024793388429752067,0.03966942148760331,0.04628099173553719,0.023140495867768594,Miriam Stern,0.06776859504132231
76079,76079,100,13,22,22,22,20,27,22,19,16,32,34,24,24,26,15,12,18,20,8,18,25,29,26,25,519,0.025048169556840076,0.04238921001926782,0.04238921001926782,0.04238921001926782,0.038535645472061654,0.05202312138728324,0.04238921001926782,0.036608863198458574,0.030828516377649325,0.06165703275529865,0.06551059730250482,0.046242774566473986,0.046242774566473986,0.05009633911368015,0.028901734104046242,0.023121387283236993,0.03468208092485549,0.038535645472061654,0.015414258188824663,0.03468208092485549,0.04816955684007707,0.055876685934489405,0.05009633911368015,0.04816955684007707,Miriam Stern,0.06551059730250482
76080,76080,100,8,18,10,15,9,14,10,15,19,16,17,15,10,16,9,1,17,14,6,14,7,13,14,11,298,0.026845637583892617,0.06040268456375839,0.03355704697986577,0.050335570469798654,0.030201342281879196,0.04697986577181208,0.03355704697986577,0.050335570469798654,0.06375838926174497,0.053691275167785234,0.05704697986577181,0.050335570469798654,0.03355704697986577,0.053691275167785234,0.030201342281879196,0.003355704697986577,0.05704697986577181,0.04697986577181208,0.020134228187919462,0.04697986577181208,0.02348993288590604,0.0436241610738255,0.04697986577181208,0.03691275167785235,Amber Ravenel,0.06375838926174497
76081,76081,100,6,13,7,13,10,13,10,11,10,14,15,8,13,9,4,1,11,11,6,10,11,13,13,9,241,0.024896265560165973,0.05394190871369295,0.029045643153526972,0.05394190871369295,0.04149377593360996,0.05394190871369295,0.04149377593360996,0.04564315352697095,0.04149377593360996,0.058091286307053944,0.06224066390041494,0.03319502074688797,0.05394190871369295,0.03734439834024896,0.016597510373443983,0.004149377593360996,0.04564315352697095,0.04564315352697095,0.024896265560165973,0.04149377593360996,0.04564315352697095,0.05394190871369295,0.05394190871369295,0.03734439834024896,Miriam Stern,0.06224066390041494
76082,76082,100,2,5,6,8,3,7,5,7,8,6,11,6,10,8,3,0,4,5,2,7,6,5,8,7,139,0.014388489208633094,0.03597122302158273,0.04316546762589928,0.05755395683453238,0.02158273381294964,0.050359712230215826,0.03597122302158273,0.050359712230215826,0.05755395683453238,0.04316546762589928,0.07913669064748201,0.04316546762589928,0.07194244604316546,0.05755395683453238,0.02158273381294964,0.0,0.02877697841726619,0.03597122302158273,0.014388489208633094,0.050359712230215826,0.04316546762589928,0.03597122302158273,0.05755395683453238,0.050359712230215826,Miriam Stern,0.07913669064748201
76083,76083,100,28,53,29,37,36,53,34,49,46,38,43,41,38,42,28,2,53,47,32,48,28,36,39,32,912,0.03070175438596491,0.0581140350877193,0.03179824561403509,0.04057017543859649,0.039473684210526314,0.0581140350877193,0.03728070175438596,0.0537280701754386,0.05043859649122807,0.041666666666666664,0.047149122807017545,0.044956140350877194,0.041666666666666664,0.046052631578947366,0.03070175438596491,0.0021929824561403508,0.0581140350877193,0.051535087719298246,0.03508771929824561,0.05263157894736842,0.03070175438596491,0.039473684210526314,0.04276315789473684,0.03508771929824561,Tie,0.0581140350877193
76084,76084,100,8,14,21,22,10,6,27,9,7,20,19,3,22,20,7,0,9,8,7,9,21,19,23,25,336,0.023809523809523808,0.041666666666666664,0.0625,0.06547619047619048,0.02976190476190476,0.017857142857142856,0.08035714285714286,0.026785714285714284,0.020833333333333332,0.05952380952380952,0.05654761904761905,0.008928571428571428,0.06547619047619048,0.05952380952380952,0.020833333333333332,0.0,0.026785714285714284,0.023809523809523808,0.020833333333333332,0.026785714285714284,0.0625,0.05654761904761905,0.06845238095238096,0.0744047619047619,Lee Wiggins,0.08035714285714286
76085,76085,100,17,25,8,9,15,19,11,22,20,13,13,15,13,10,11,0,18,16,12,20,10,10,12,15,334,0.05089820359281437,0.0748502994011976,0.023952095808383235,0.02694610778443114,0.04491017964071856,0.05688622754491018,0.03293413173652695,0.0658682634730539,0.059880239520958084,0.038922155688622756,0.038922155688622756,0.04491017964071856,0.038922155688622756,0.029940119760479042,0.03293413173652695,0.0,0.05389221556886228,0.04790419161676647,0.03592814371257485,0.059880239520958084,0.029940119760479042,0.029940119760479042,0.03592814371257485,0.04491017964071856,Jessica Tomlinson,0.0748502994011976
76086,76086,100,10,28,10,17,16,21,13,23,22,13,16,20,13,16,18,0,20,18,11,22,11,17,15,10,380,0.02631578947368421,0.07368421052631578,0.02631578947368421,0.04473684210526316,0.042105263157894736,0.05526315789473684,0.034210526315789476,0.060526315789473685,0.05789473684210526,0.034210526315789476,0.042105263157894736,0.05263157894736842,0.034210526315789476,0.042105263157894736,0.04736842105263158,0.0,0.05263157894736842,0.04736842105263158,0.02894736842105263,0.05789473684210526,0.02894736842105263,0.04473684210526316,0.039473684210526314,0.02631578947368421,Jessica Tomlinson,0.07368421052631578
76087,76087,100,13,7,4,3,12,11,2,10,8,3,6,10,3,4,6,0,8,10,16,11,3,4,7,6,167,0.07784431137724551,0.041916167664670656,0.023952095808383235,0.017964071856287425,0.0718562874251497,0.0658682634730539,0.011976047904191617,0.059880239520958084,0.04790419161676647,0.017964071856287425,0.03592814371257485,0.059880239520958084,0.017964071856287425,0.023952095808383235,0.03592814371257485,0.0,0.04790419161676647,0.059880239520958084,0.09580838323353294,0.0658682634730539,0.017964071856287425,0.023952095808383235,0.041916167664670656,0.03592814371257485,Frederick W. Gerkens III,0.09580838323353294
76088,76088,100,5,16,13,18,12,17,17,19,15,17,21,9,15,19,12,1,14,11,8,14,12,19,14,15,333,0.015015015015015015,0.04804804804804805,0.03903903903903904,0.05405405405405406,0.036036036036036036,0.05105105105105105,0.05105105105105105,0.057057057057057055,0.04504504504504504,0.05105105105105105,0.06306306306306306,0.02702702702702703,0.04504504504504504,0.057057057057057055,0.036036036036036036,0.003003003003003003,0.042042042042042045,0.03303303303303303,0.024024024024024024,0.042042042042042045,0.036036036036036036,0.057057057057057055,0.042042042042042045,0.04504504504504504,Miriam Stern,0.06306306306306306
76089,76089,100,4,18,5,8,6,11,4,10,12,7,12,9,8,7,4,0,15,12,4,8,4,7,9,5,189,0.021164021164021163,0.09523809523809523,0.026455026455026454,0.042328042328042326,0.031746031746031744,0.0582010582010582,0.021164021164021163,0.05291005291005291,0.06349206349206349,0.037037037037037035,0.06349206349206349,0.047619047619047616,0.042328042328042326,0.037037037037037035,0.021164021164021163,0.0,0.07936507936507936,0.06349206349206349,0.021164021164021163,0.042328042328042326,0.021164021164021163,0.037037037037037035,0.047619047619047616,0.026455026455026454,Jessica Tomlinson,0.09523809523809523
76090,76090,100,12,22,9,15,13,26,9,19,20,18,22,19,14,17,8,0,21,21,10,20,10,16,12,7,360,0.03333333333333333,0.06111111111111111,0.025,0.041666666666666664,0.03611111111111111,0.07222222222222222,0.025,0.05277777777777778,0.05555555555555555,0.05,0.06111111111111111,0.05277777777777778,0.03888888888888889,0.04722222222222222,0.022222222222222223,0.0,0.058333333333333334,0.058333333333333334,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.044444444444444446,0.03333333333333333,0.019444444444444445,Marilyn Diamond,0.07222222222222222
76200,76200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76201,76200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76202,76200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76203,76200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76204,76200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76205,76200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76206,76200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76207,76087,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
