aded,reporting,FARAH_N_LOUIS___A Unified 45,MONIQUE_CHANDLER-WATERMAN___A Vital Voice,JOVIA_A_RADIX___Justice for All,XAMAYLA_ROSE___Rose For Progress,L_RICKIE_TULLOCH___Peoples Movement,ADINA_SASH___Community First,ANTHONY_ALEXIS___Unite to Uplift,VICTOR_JORDAN___Last Chance,WRITE-IN,total,ADINA_SASH_(),VICTOR_JORDAN_(),MONIQUE_CHANDLER-WATERMAN_(),JOVIA_A_RADIX_(),FARAH_N_LOUIS_(),ANTHONY_ALEXIS_(),XAMAYLA_ROSE_(),L_RICKIE_TULLOCH_(),p_FARAH_N_LOUIS___A Unified 45,p_MONIQUE_CHANDLER-WATERMAN___A Vital Voice,p_JOVIA_A_RADIX___Justice for All,p_XAMAYLA_ROSE___Rose For Progress,p_L_RICKIE_TULLOCH___Peoples Movement,p_ADINA_SASH___Community First,p_ANTHONY_ALEXIS___Unite to Uplift,p_VICTOR_JORDAN___Last Chance,p_WRITE-IN,p_ADINA_SASH_(),p_VICTOR_JORDAN_(),p_MONIQUE_CHANDLER-WATERMAN_(),p_JOVIA_A_RADIX_(),p_FARAH_N_LOUIS_(),p_ANTHONY_ALEXIS_(),p_XAMAYLA_ROSE_(),p_L_RICKIE_TULLOCH_(),winner,winner_p
48056,99.00,86,14,1,2,3,20,0,0,0,126,20,0,14,1,86,0,2,3,0.6825396825396826,0.1111111111111111,0.007936507936507936,0.015873015873015872,0.023809523809523808,0.15873015873015872,0.0,0.0,0.0,0.15873015873015872,0.0,0.1111111111111111,0.007936507936507936,0.6825396825396826,0.0,0.015873015873015872,0.023809523809523808,FARAH_N_LOUIS_(),0.6825396825396826
48057,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
48063,99.00,38,4,2,1,3,11,0,3,0,62,11,3,4,2,38,0,1,3,0.6129032258064516,0.06451612903225806,0.03225806451612903,0.016129032258064516,0.04838709677419355,0.1774193548387097,0.0,0.04838709677419355,0.0,0.1774193548387097,0.04838709677419355,0.06451612903225806,0.03225806451612903,0.6129032258064516,0.0,0.016129032258064516,0.04838709677419355,FARAH_N_LOUIS_(),0.6129032258064516
58016,99.00,11,36,6,4,4,1,3,0,0,65,1,0,36,6,11,3,4,4,0.16923076923076924,0.5538461538461539,0.09230769230769231,0.06153846153846154,0.06153846153846154,0.015384615384615385,0.046153846153846156,0.0,0.0,0.015384615384615385,0.0,0.5538461538461539,0.09230769230769231,0.16923076923076924,0.046153846153846156,0.06153846153846154,0.06153846153846154,MONIQUE_CHANDLER-WATERMAN_(),0.5538461538461539
58017,99.00,37,91,16,12,9,4,1,0,0,170,4,0,91,16,37,1,12,9,0.21764705882352942,0.5352941176470588,0.09411764705882353,0.07058823529411765,0.052941176470588235,0.023529411764705882,0.0058823529411764705,0.0,0.0,0.023529411764705882,0.0,0.5352941176470588,0.09411764705882353,0.21764705882352942,0.0058823529411764705,0.07058823529411765,0.052941176470588235,MONIQUE_CHANDLER-WATERMAN_(),0.5352941176470588
58018,99.00,33,50,3,8,5,0,2,0,1,102,0,0,50,3,33,2,8,5,0.3235294117647059,0.49019607843137253,0.029411764705882353,0.0784313725490196,0.049019607843137254,0.0,0.0196078431372549,0.0,0.00980392156862745,0.0,0.0,0.49019607843137253,0.029411764705882353,0.3235294117647059,0.0196078431372549,0.0784313725490196,0.049019607843137254,MONIQUE_CHANDLER-WATERMAN_(),0.49019607843137253
58019,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
58020,99.00,57,84,10,14,13,0,1,4,0,183,0,4,84,10,57,1,14,13,0.3114754098360656,0.45901639344262296,0.0546448087431694,0.07650273224043716,0.07103825136612021,0.0,0.00546448087431694,0.02185792349726776,0.0,0.0,0.02185792349726776,0.45901639344262296,0.0546448087431694,0.3114754098360656,0.00546448087431694,0.07650273224043716,0.07103825136612021,MONIQUE_CHANDLER-WATERMAN_(),0.45901639344262296
58021,99.00,17,29,7,7,7,1,0,0,0,68,1,0,29,7,17,0,7,7,0.25,0.4264705882352941,0.10294117647058823,0.10294117647058823,0.10294117647058823,0.014705882352941176,0.0,0.0,0.0,0.014705882352941176,0.0,0.4264705882352941,0.10294117647058823,0.25,0.0,0.10294117647058823,0.10294117647058823,MONIQUE_CHANDLER-WATERMAN_(),0.4264705882352941
58022,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
58023,99.00,28,46,27,10,8,0,1,0,0,120,0,0,46,27,28,1,10,8,0.23333333333333334,0.38333333333333336,0.225,0.08333333333333333,0.06666666666666667,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.38333333333333336,0.225,0.23333333333333334,0.008333333333333333,0.08333333333333333,0.06666666666666667,MONIQUE_CHANDLER-WATERMAN_(),0.38333333333333336
58024,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
58025,99.00,24,38,24,18,8,0,6,1,0,119,0,1,38,24,24,6,18,8,0.20168067226890757,0.31932773109243695,0.20168067226890757,0.15126050420168066,0.06722689075630252,0.0,0.05042016806722689,0.008403361344537815,0.0,0.0,0.008403361344537815,0.31932773109243695,0.20168067226890757,0.20168067226890757,0.05042016806722689,0.15126050420168066,0.06722689075630252,MONIQUE_CHANDLER-WATERMAN_(),0.31932773109243695
58026,99.00,36,91,12,12,23,2,0,1,0,177,2,1,91,12,36,0,12,23,0.2033898305084746,0.5141242937853108,0.06779661016949153,0.06779661016949153,0.12994350282485875,0.011299435028248588,0.0,0.005649717514124294,0.0,0.011299435028248588,0.005649717514124294,0.5141242937853108,0.06779661016949153,0.2033898305084746,0.0,0.06779661016949153,0.12994350282485875,MONIQUE_CHANDLER-WATERMAN_(),0.5141242937853108
58027,99.00,47,105,15,16,14,0,1,0,0,198,0,0,105,15,47,1,16,14,0.23737373737373738,0.5303030303030303,0.07575757575757576,0.08080808080808081,0.0707070707070707,0.0,0.005050505050505051,0.0,0.0,0.0,0.0,0.5303030303030303,0.07575757575757576,0.23737373737373738,0.005050505050505051,0.08080808080808081,0.0707070707070707,MONIQUE_CHANDLER-WATERMAN_(),0.5303030303030303
58028,99.00,52,76,21,13,23,0,3,0,1,189,0,0,76,21,52,3,13,23,0.2751322751322751,0.4021164021164021,0.1111111111111111,0.06878306878306878,0.12169312169312169,0.0,0.015873015873015872,0.0,0.005291005291005291,0.0,0.0,0.4021164021164021,0.1111111111111111,0.2751322751322751,0.015873015873015872,0.06878306878306878,0.12169312169312169,MONIQUE_CHANDLER-WATERMAN_(),0.4021164021164021
58029,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
58030,99.00,35,65,21,21,3,2,2,0,0,149,2,0,65,21,35,2,21,3,0.2348993288590604,0.436241610738255,0.14093959731543623,0.14093959731543623,0.020134228187919462,0.013422818791946308,0.013422818791946308,0.0,0.0,0.013422818791946308,0.0,0.436241610738255,0.14093959731543623,0.2348993288590604,0.013422818791946308,0.14093959731543623,0.020134228187919462,MONIQUE_CHANDLER-WATERMAN_(),0.436241610738255
58031,66.67,65,72,39,15,20,0,1,1,0,213,0,1,72,39,65,1,15,20,0.3051643192488263,0.3380281690140845,0.18309859154929578,0.07042253521126761,0.09389671361502347,0.0,0.004694835680751174,0.004694835680751174,0.0,0.0,0.004694835680751174,0.3380281690140845,0.18309859154929578,0.3051643192488263,0.004694835680751174,0.07042253521126761,0.09389671361502347,MONIQUE_CHANDLER-WATERMAN_(),0.3380281690140845
58032,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
58033,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
58034,99.00,37,76,24,14,11,2,2,3,0,169,2,3,76,24,37,2,14,11,0.21893491124260356,0.44970414201183434,0.14201183431952663,0.08284023668639054,0.0650887573964497,0.011834319526627219,0.011834319526627219,0.01775147928994083,0.0,0.011834319526627219,0.01775147928994083,0.44970414201183434,0.14201183431952663,0.21893491124260356,0.011834319526627219,0.08284023668639054,0.0650887573964497,MONIQUE_CHANDLER-WATERMAN_(),0.44970414201183434
58035,99.00,10,38,12,5,7,1,0,1,0,74,1,1,38,12,10,0,5,7,0.13513513513513514,0.5135135135135135,0.16216216216216217,0.06756756756756757,0.0945945945945946,0.013513513513513514,0.0,0.013513513513513514,0.0,0.013513513513513514,0.013513513513513514,0.5135135135135135,0.16216216216216217,0.13513513513513514,0.0,0.06756756756756757,0.0945945945945946,MONIQUE_CHANDLER-WATERMAN_(),0.5135135135135135
58037,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
58038,99.00,34,54,24,6,12,0,4,1,0,135,0,1,54,24,34,4,6,12,0.2518518518518518,0.4,0.17777777777777778,0.044444444444444446,0.08888888888888889,0.0,0.02962962962962963,0.007407407407407408,0.0,0.0,0.007407407407407408,0.4,0.17777777777777778,0.2518518518518518,0.02962962962962963,0.044444444444444446,0.08888888888888889,MONIQUE_CHANDLER-WATERMAN_(),0.4
58039,99.00,25,67,25,2,15,2,7,0,0,143,2,0,67,25,25,7,2,15,0.17482517482517482,0.46853146853146854,0.17482517482517482,0.013986013986013986,0.1048951048951049,0.013986013986013986,0.04895104895104895,0.0,0.0,0.013986013986013986,0.0,0.46853146853146854,0.17482517482517482,0.17482517482517482,0.04895104895104895,0.013986013986013986,0.1048951048951049,MONIQUE_CHANDLER-WATERMAN_(),0.46853146853146854
58041,99.00,31,37,21,3,5,0,2,2,0,101,0,2,37,21,31,2,3,5,0.3069306930693069,0.36633663366336633,0.2079207920792079,0.0297029702970297,0.04950495049504951,0.0,0.019801980198019802,0.019801980198019802,0.0,0.0,0.019801980198019802,0.36633663366336633,0.2079207920792079,0.3069306930693069,0.019801980198019802,0.0297029702970297,0.04950495049504951,MONIQUE_CHANDLER-WATERMAN_(),0.36633663366336633
58042,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
58043,99.00,25,61,33,7,19,3,0,0,0,148,3,0,61,33,25,0,7,19,0.16891891891891891,0.41216216216216217,0.22297297297297297,0.0472972972972973,0.12837837837837837,0.02027027027027027,0.0,0.0,0.0,0.02027027027027027,0.0,0.41216216216216217,0.22297297297297297,0.16891891891891891,0.0,0.0472972972972973,0.12837837837837837,MONIQUE_CHANDLER-WATERMAN_(),0.41216216216216217
58044,99.00,13,12,8,1,3,1,0,0,0,38,1,0,12,8,13,0,1,3,0.34210526315789475,0.3157894736842105,0.21052631578947367,0.02631578947368421,0.07894736842105263,0.02631578947368421,0.0,0.0,0.0,0.02631578947368421,0.0,0.3157894736842105,0.21052631578947367,0.34210526315789475,0.0,0.02631578947368421,0.07894736842105263,FARAH_N_LOUIS_(),0.34210526315789475
58049,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
58050,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
58080,99.00,37,92,31,48,10,0,4,3,0,225,0,3,92,31,37,4,48,10,0.16444444444444445,0.4088888888888889,0.13777777777777778,0.21333333333333335,0.044444444444444446,0.0,0.017777777777777778,0.013333333333333334,0.0,0.0,0.013333333333333334,0.4088888888888889,0.13777777777777778,0.16444444444444445,0.017777777777777778,0.21333333333333335,0.044444444444444446,MONIQUE_CHANDLER-WATERMAN_(),0.4088888888888889
58081,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
58083,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
58086,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
59002,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
59003,99.00,25,29,2,4,3,0,1,0,0,64,0,0,29,2,25,1,4,3,0.390625,0.453125,0.03125,0.0625,0.046875,0.0,0.015625,0.0,0.0,0.0,0.0,0.453125,0.03125,0.390625,0.015625,0.0625,0.046875,MONIQUE_CHANDLER-WATERMAN_(),0.453125
59004,99.00,24,16,8,0,3,0,0,0,0,51,0,0,16,8,24,0,0,3,0.47058823529411764,0.3137254901960784,0.1568627450980392,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.3137254901960784,0.1568627450980392,0.47058823529411764,0.0,0.0,0.058823529411764705,FARAH_N_LOUIS_(),0.47058823529411764
59019,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
59023,99.00,18,19,7,4,4,1,0,0,0,53,1,0,19,7,18,0,4,4,0.33962264150943394,0.3584905660377358,0.1320754716981132,0.07547169811320754,0.07547169811320754,0.018867924528301886,0.0,0.0,0.0,0.018867924528301886,0.0,0.3584905660377358,0.1320754716981132,0.33962264150943394,0.0,0.07547169811320754,0.07547169811320754,MONIQUE_CHANDLER-WATERMAN_(),0.3584905660377358
59086,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
