ED,Reported As,Reporting,Joy F. Campanelli (Democratic),Vincent F. Martusciello (Conservative),Scattered,Total Votes,Joy F. Campanelli RECAP,Vincent F. Martusciello RECAP,Scattered RECAP,p_Joy F. Campanelli (Democratic),p_Vincent F. Martusciello (Conservative),p_Scattered,p_Joy F. Campanelli RECAP,p_Vincent F. Martusciello RECAP,p_Scattered RECAP,winner,winner_p
44037,44037,100,86,11,0,97,86,11,0,0.8865979381443299,0.1134020618556701,0.0,0.8865979381443299,0.1134020618556701,0.0,Joy F. Campanelli RECAP,0.8865979381443299
44038,44038,100,200,19,2,221,200,19,2,0.9049773755656109,0.08597285067873303,0.00904977375565611,0.9049773755656109,0.08597285067873303,0.00904977375565611,Joy F. Campanelli RECAP,0.9049773755656109
44039,44039,100,121,16,0,137,121,16,0,0.8832116788321168,0.11678832116788321,0.0,0.8832116788321168,0.11678832116788321,0.0,Joy F. Campanelli RECAP,0.8832116788321168
44040,44040,100,25,1,0,26,25,1,0,0.9615384615384616,0.038461538461538464,0.0,0.9615384615384616,0.038461538461538464,0.0,Joy F. Campanelli RECAP,0.9615384615384616
44041,44041,100,30,31,1,62,30,31,1,0.4838709677419355,0.5,0.016129032258064516,0.4838709677419355,0.5,0.016129032258064516,Vincent F. Martusciello RECAP,0.5
44042,44042,100,109,38,0,147,109,38,0,0.7414965986394558,0.2585034013605442,0.0,0.7414965986394558,0.2585034013605442,0.0,Joy F. Campanelli RECAP,0.7414965986394558
44043,44043,100,158,53,4,215,158,53,4,0.7348837209302326,0.24651162790697675,0.018604651162790697,0.7348837209302326,0.24651162790697675,0.018604651162790697,Joy F. Campanelli RECAP,0.7348837209302326
44044,44044,100,68,24,0,92,68,24,0,0.7391304347826086,0.2608695652173913,0.0,0.7391304347826086,0.2608695652173913,0.0,Joy F. Campanelli RECAP,0.7391304347826086
44045,44045,100,103,17,0,120,103,17,0,0.8583333333333333,0.14166666666666666,0.0,0.8583333333333333,0.14166666666666666,0.0,Joy F. Campanelli RECAP,0.8583333333333333
44046,44046,100,100,2,0,102,100,2,0,0.9803921568627451,0.0196078431372549,0.0,0.9803921568627451,0.0196078431372549,0.0,Joy F. Campanelli RECAP,0.9803921568627451
44047,44047,100,24,8,1,33,24,8,1,0.7272727272727273,0.24242424242424243,0.030303030303030304,0.7272727272727273,0.24242424242424243,0.030303030303030304,Joy F. Campanelli RECAP,0.7272727272727273
44048,44048,100,129,16,1,146,129,16,1,0.8835616438356164,0.1095890410958904,0.00684931506849315,0.8835616438356164,0.1095890410958904,0.00684931506849315,Joy F. Campanelli RECAP,0.8835616438356164
44049,44049,100,271,35,1,307,271,35,1,0.8827361563517915,0.11400651465798045,0.003257328990228013,0.8827361563517915,0.11400651465798045,0.003257328990228013,Joy F. Campanelli RECAP,0.8827361563517915
44050,44050,100,230,16,1,247,230,16,1,0.9311740890688259,0.06477732793522267,0.004048582995951417,0.9311740890688259,0.06477732793522267,0.004048582995951417,Joy F. Campanelli RECAP,0.9311740890688259
44051,44051,100,222,26,0,248,222,26,0,0.8951612903225806,0.10483870967741936,0.0,0.8951612903225806,0.10483870967741936,0.0,Joy F. Campanelli RECAP,0.8951612903225806
44052,44052,100,289,43,2,334,289,43,2,0.8652694610778443,0.12874251497005987,0.005988023952095809,0.8652694610778443,0.12874251497005987,0.005988023952095809,Joy F. Campanelli RECAP,0.8652694610778443
44053,44053,100,214,58,1,273,214,58,1,0.7838827838827839,0.21245421245421245,0.003663003663003663,0.7838827838827839,0.21245421245421245,0.003663003663003663,Joy F. Campanelli RECAP,0.7838827838827839
44054,44054,100,321,39,1,361,321,39,1,0.889196675900277,0.10803324099722991,0.002770083102493075,0.889196675900277,0.10803324099722991,0.002770083102493075,Joy F. Campanelli RECAP,0.889196675900277
44055,44055,100,294,49,0,343,294,49,0,0.8571428571428571,0.14285714285714285,0.0,0.8571428571428571,0.14285714285714285,0.0,Joy F. Campanelli RECAP,0.8571428571428571
44056,44056,100,163,28,0,191,163,28,0,0.8534031413612565,0.14659685863874344,0.0,0.8534031413612565,0.14659685863874344,0.0,Joy F. Campanelli RECAP,0.8534031413612565
44057,44057,100,316,50,0,366,316,50,0,0.8633879781420765,0.1366120218579235,0.0,0.8633879781420765,0.1366120218579235,0.0,Joy F. Campanelli RECAP,0.8633879781420765
44058,44058,100,247,68,2,317,247,68,2,0.7791798107255521,0.21451104100946372,0.006309148264984227,0.7791798107255521,0.21451104100946372,0.006309148264984227,Joy F. Campanelli RECAP,0.7791798107255521
44059,44059,100,213,41,0,254,213,41,0,0.8385826771653543,0.16141732283464566,0.0,0.8385826771653543,0.16141732283464566,0.0,Joy F. Campanelli RECAP,0.8385826771653543
44060,44060,100,214,25,1,240,214,25,1,0.8916666666666667,0.10416666666666667,0.004166666666666667,0.8916666666666667,0.10416666666666667,0.004166666666666667,Joy F. Campanelli RECAP,0.8916666666666667
44061,44061,100,136,8,0,144,136,8,0,0.9444444444444444,0.05555555555555555,0.0,0.9444444444444444,0.05555555555555555,0.0,Joy F. Campanelli RECAP,0.9444444444444444
44062,44062,100,154,22,0,176,154,22,0,0.875,0.125,0.0,0.875,0.125,0.0,Joy F. Campanelli RECAP,0.875
44063,44063,100,159,11,0,170,159,11,0,0.9352941176470588,0.06470588235294118,0.0,0.9352941176470588,0.06470588235294118,0.0,Joy F. Campanelli RECAP,0.9352941176470588
44064,44064,100,61,5,0,66,61,5,0,0.9242424242424242,0.07575757575757576,0.0,0.9242424242424242,0.07575757575757576,0.0,Joy F. Campanelli RECAP,0.9242424242424242
44065,44065,100,235,12,0,247,235,12,0,0.951417004048583,0.048582995951417005,0.0,0.951417004048583,0.048582995951417005,0.0,Joy F. Campanelli RECAP,0.951417004048583
44066,44066,100,133,11,1,145,133,11,1,0.9172413793103448,0.07586206896551724,0.006896551724137931,0.9172413793103448,0.07586206896551724,0.006896551724137931,Joy F. Campanelli RECAP,0.9172413793103448
44067,44067,100,77,66,0,143,77,66,0,0.5384615384615384,0.46153846153846156,0.0,0.5384615384615384,0.46153846153846156,0.0,Joy F. Campanelli RECAP,0.5384615384615384
44068,44068,100,156,10,0,166,156,10,0,0.9397590361445783,0.060240963855421686,0.0,0.9397590361445783,0.060240963855421686,0.0,Joy F. Campanelli RECAP,0.9397590361445783
44069,44069,100,285,30,0,315,285,30,0,0.9047619047619048,0.09523809523809523,0.0,0.9047619047619048,0.09523809523809523,0.0,Joy F. Campanelli RECAP,0.9047619047619048
44070,44070,100,183,24,2,209,183,24,2,0.8755980861244019,0.11483253588516747,0.009569377990430622,0.8755980861244019,0.11483253588516747,0.009569377990430622,Joy F. Campanelli RECAP,0.8755980861244019
44071,44071,100,258,35,2,295,258,35,2,0.8745762711864407,0.11864406779661017,0.006779661016949152,0.8745762711864407,0.11864406779661017,0.006779661016949152,Joy F. Campanelli RECAP,0.8745762711864407
44072,44072,100,239,11,0,250,239,11,0,0.956,0.044,0.0,0.956,0.044,0.0,Joy F. Campanelli RECAP,0.956
44073,44073,100,244,27,1,272,244,27,1,0.8970588235294118,0.09926470588235294,0.003676470588235294,0.8970588235294118,0.09926470588235294,0.003676470588235294,Joy F. Campanelli RECAP,0.8970588235294118
44074,44074,100,300,24,1,325,300,24,1,0.9230769230769231,0.07384615384615385,0.003076923076923077,0.9230769230769231,0.07384615384615385,0.003076923076923077,Joy F. Campanelli RECAP,0.9230769230769231
44075,44075,100,243,26,1,270,243,26,1,0.9,0.0962962962962963,0.003703703703703704,0.9,0.0962962962962963,0.003703703703703704,Joy F. Campanelli RECAP,0.9
44076,44076,100,236,14,0,250,236,14,0,0.944,0.056,0.0,0.944,0.056,0.0,Joy F. Campanelli RECAP,0.944
44077,44077,100,241,21,0,262,241,21,0,0.9198473282442748,0.08015267175572519,0.0,0.9198473282442748,0.08015267175572519,0.0,Joy F. Campanelli RECAP,0.9198473282442748
44078,44078,100,328,25,2,355,328,25,2,0.923943661971831,0.07042253521126761,0.005633802816901409,0.923943661971831,0.07042253521126761,0.005633802816901409,Joy F. Campanelli RECAP,0.923943661971831
44079,44079,100,276,29,3,308,276,29,3,0.8961038961038961,0.09415584415584416,0.00974025974025974,0.8961038961038961,0.09415584415584416,0.00974025974025974,Joy F. Campanelli RECAP,0.8961038961038961
44080,44080,100,210,21,0,231,210,21,0,0.9090909090909091,0.09090909090909091,0.0,0.9090909090909091,0.09090909090909091,0.0,Joy F. Campanelli RECAP,0.9090909090909091
44081,44081,100,44,42,0,86,44,42,0,0.5116279069767442,0.4883720930232558,0.0,0.5116279069767442,0.4883720930232558,0.0,Joy F. Campanelli RECAP,0.5116279069767442
44082,44082,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
44083,44083,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
44084,44084,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
45001,45001,100,66,81,1,148,66,81,1,0.44594594594594594,0.5472972972972973,0.006756756756756757,0.44594594594594594,0.5472972972972973,0.006756756756756757,Vincent F. Martusciello RECAP,0.5472972972972973
45002,45002,100,109,84,2,195,109,84,2,0.558974358974359,0.4307692307692308,0.010256410256410256,0.558974358974359,0.4307692307692308,0.010256410256410256,Joy F. Campanelli RECAP,0.558974358974359
45003,45003,100,75,122,0,197,75,122,0,0.38071065989847713,0.6192893401015228,0.0,0.38071065989847713,0.6192893401015228,0.0,Vincent F. Martusciello RECAP,0.6192893401015228
45004,45004,100,93,77,0,170,93,77,0,0.5470588235294118,0.45294117647058824,0.0,0.5470588235294118,0.45294117647058824,0.0,Joy F. Campanelli RECAP,0.5470588235294118
45005,45005,100,109,133,2,244,109,133,2,0.44672131147540983,0.5450819672131147,0.00819672131147541,0.44672131147540983,0.5450819672131147,0.00819672131147541,Vincent F. Martusciello RECAP,0.5450819672131147
45006,45006,100,80,116,0,196,80,116,0,0.40816326530612246,0.5918367346938775,0.0,0.40816326530612246,0.5918367346938775,0.0,Vincent F. Martusciello RECAP,0.5918367346938775
45007,45007,100,10,1,0,11,10,1,0,0.9090909090909091,0.09090909090909091,0.0,0.9090909090909091,0.09090909090909091,0.0,Joy F. Campanelli RECAP,0.9090909090909091
45008,45008,100,66,44,1,111,66,44,1,0.5945945945945946,0.3963963963963964,0.009009009009009009,0.5945945945945946,0.3963963963963964,0.009009009009009009,Joy F. Campanelli RECAP,0.5945945945945946
45009,45009,100,64,70,0,134,64,70,0,0.47761194029850745,0.5223880597014925,0.0,0.47761194029850745,0.5223880597014925,0.0,Vincent F. Martusciello RECAP,0.5223880597014925
45010,45010,100,28,58,0,86,28,58,0,0.32558139534883723,0.6744186046511628,0.0,0.32558139534883723,0.6744186046511628,0.0,Vincent F. Martusciello RECAP,0.6744186046511628
45011,45011,100,92,37,0,129,92,37,0,0.7131782945736435,0.2868217054263566,0.0,0.7131782945736435,0.2868217054263566,0.0,Joy F. Campanelli RECAP,0.7131782945736435
45012,45012,100,70,57,1,128,70,57,1,0.546875,0.4453125,0.0078125,0.546875,0.4453125,0.0078125,Joy F. Campanelli RECAP,0.546875
45013,45013,100,72,70,0,142,72,70,0,0.5070422535211268,0.49295774647887325,0.0,0.5070422535211268,0.49295774647887325,0.0,Joy F. Campanelli RECAP,0.5070422535211268
45014,45014,100,84,78,0,162,84,78,0,0.5185185185185185,0.48148148148148145,0.0,0.5185185185185185,0.48148148148148145,0.0,Joy F. Campanelli RECAP,0.5185185185185185
45015,45015,100,7,25,0,32,7,25,0,0.21875,0.78125,0.0,0.21875,0.78125,0.0,Vincent F. Martusciello RECAP,0.78125
45016,45016,100,82,82,0,164,82,82,0,0.5,0.5,0.0,0.5,0.5,0.0,Tie,0.5
45017,45017,100,45,42,1,88,45,42,1,0.5113636363636364,0.4772727272727273,0.011363636363636364,0.5113636363636364,0.4772727272727273,0.011363636363636364,Joy F. Campanelli RECAP,0.5113636363636364
45018,45018,100,6,8,0,14,6,8,0,0.42857142857142855,0.5714285714285714,0.0,0.42857142857142855,0.5714285714285714,0.0,Vincent F. Martusciello RECAP,0.5714285714285714
45019,45019,100,66,52,1,119,66,52,1,0.5546218487394958,0.4369747899159664,0.008403361344537815,0.5546218487394958,0.4369747899159664,0.008403361344537815,Joy F. Campanelli RECAP,0.5546218487394958
45020,45020,100,50,55,0,105,50,55,0,0.47619047619047616,0.5238095238095238,0.0,0.47619047619047616,0.5238095238095238,0.0,Vincent F. Martusciello RECAP,0.5238095238095238
45021,45021,100,44,40,0,84,44,40,0,0.5238095238095238,0.47619047619047616,0.0,0.5238095238095238,0.47619047619047616,0.0,Joy F. Campanelli RECAP,0.5238095238095238
45022,45022,100,60,32,0,92,60,32,0,0.6521739130434783,0.34782608695652173,0.0,0.6521739130434783,0.34782608695652173,0.0,Joy F. Campanelli RECAP,0.6521739130434783
45023,45023,100,85,65,0,150,85,65,0,0.5666666666666667,0.43333333333333335,0.0,0.5666666666666667,0.43333333333333335,0.0,Joy F. Campanelli RECAP,0.5666666666666667
45024,45024,100,100,63,0,163,100,63,0,0.6134969325153374,0.38650306748466257,0.0,0.6134969325153374,0.38650306748466257,0.0,Joy F. Campanelli RECAP,0.6134969325153374
45025,45025,100,30,7,0,37,30,7,0,0.8108108108108109,0.1891891891891892,0.0,0.8108108108108109,0.1891891891891892,0.0,Joy F. Campanelli RECAP,0.8108108108108109
45026,45026,100,58,21,0,79,58,21,0,0.7341772151898734,0.26582278481012656,0.0,0.7341772151898734,0.26582278481012656,0.0,Joy F. Campanelli RECAP,0.7341772151898734
45027,45027,100,83,31,0,114,83,31,0,0.7280701754385965,0.2719298245614035,0.0,0.7280701754385965,0.2719298245614035,0.0,Joy F. Campanelli RECAP,0.7280701754385965
45028,45028,100,58,27,0,85,58,27,0,0.6823529411764706,0.3176470588235294,0.0,0.6823529411764706,0.3176470588235294,0.0,Joy F. Campanelli RECAP,0.6823529411764706
45029,45029,100,47,30,0,77,47,30,0,0.6103896103896104,0.38961038961038963,0.0,0.6103896103896104,0.38961038961038963,0.0,Joy F. Campanelli RECAP,0.6103896103896104
45030,45030,100,100,71,0,171,100,71,0,0.5847953216374269,0.4152046783625731,0.0,0.5847953216374269,0.4152046783625731,0.0,Joy F. Campanelli RECAP,0.5847953216374269
45031,45031,100,58,38,0,96,58,38,0,0.6041666666666666,0.3958333333333333,0.0,0.6041666666666666,0.3958333333333333,0.0,Joy F. Campanelli RECAP,0.6041666666666666
45032,45032,100,50,39,0,89,50,39,0,0.5617977528089888,0.43820224719101125,0.0,0.5617977528089888,0.43820224719101125,0.0,Joy F. Campanelli RECAP,0.5617977528089888
45033,45033,100,61,41,0,102,61,41,0,0.5980392156862745,0.4019607843137255,0.0,0.5980392156862745,0.4019607843137255,0.0,Joy F. Campanelli RECAP,0.5980392156862745
45034,45034,100,79,30,1,110,79,30,1,0.7181818181818181,0.2727272727272727,0.00909090909090909,0.7181818181818181,0.2727272727272727,0.00909090909090909,Joy F. Campanelli RECAP,0.7181818181818181
45035,45035,100,63,43,1,107,63,43,1,0.5887850467289719,0.40186915887850466,0.009345794392523364,0.5887850467289719,0.40186915887850466,0.009345794392523364,Joy F. Campanelli RECAP,0.5887850467289719
45036,45036,100,59,43,0,102,59,43,0,0.5784313725490197,0.4215686274509804,0.0,0.5784313725490197,0.4215686274509804,0.0,Joy F. Campanelli RECAP,0.5784313725490197
45037,45037,100,48,51,0,99,48,51,0,0.48484848484848486,0.5151515151515151,0.0,0.48484848484848486,0.5151515151515151,0.0,Vincent F. Martusciello RECAP,0.5151515151515151
45038,45038,100,43,35,0,78,43,35,0,0.5512820512820513,0.44871794871794873,0.0,0.5512820512820513,0.44871794871794873,0.0,Joy F. Campanelli RECAP,0.5512820512820513
45039,45039,100,2,3,0,5,2,3,0,0.4,0.6,0.0,0.4,0.6,0.0,Vincent F. Martusciello RECAP,0.6
45040,45040,100,89,64,0,153,89,64,0,0.5816993464052288,0.41830065359477125,0.0,0.5816993464052288,0.41830065359477125,0.0,Joy F. Campanelli RECAP,0.5816993464052288
45041,45041,100,26,20,0,46,26,20,0,0.5652173913043478,0.43478260869565216,0.0,0.5652173913043478,0.43478260869565216,0.0,Joy F. Campanelli RECAP,0.5652173913043478
45042,45042,100,79,45,0,124,79,45,0,0.6370967741935484,0.3629032258064516,0.0,0.6370967741935484,0.3629032258064516,0.0,Joy F. Campanelli RECAP,0.6370967741935484
45043,45043,100,109,40,0,149,109,40,0,0.7315436241610739,0.2684563758389262,0.0,0.7315436241610739,0.2684563758389262,0.0,Joy F. Campanelli RECAP,0.7315436241610739
45044,45044,100,25,12,0,37,25,12,0,0.6756756756756757,0.32432432432432434,0.0,0.6756756756756757,0.32432432432432434,0.0,Joy F. Campanelli RECAP,0.6756756756756757
45045,45045,100,158,6,0,164,158,6,0,0.9634146341463414,0.036585365853658534,0.0,0.9634146341463414,0.036585365853658534,0.0,Joy F. Campanelli RECAP,0.9634146341463414
45046,45046,100,171,9,0,180,171,9,0,0.95,0.05,0.0,0.95,0.05,0.0,Joy F. Campanelli RECAP,0.95
45047,45047,100,7,5,0,12,7,5,0,0.5833333333333334,0.4166666666666667,0.0,0.5833333333333334,0.4166666666666667,0.0,Joy F. Campanelli RECAP,0.5833333333333334
45048,45048,100,139,97,0,236,139,97,0,0.5889830508474576,0.4110169491525424,0.0,0.5889830508474576,0.4110169491525424,0.0,Joy F. Campanelli RECAP,0.5889830508474576
45049,45049,100,10,14,0,24,10,14,0,0.4166666666666667,0.5833333333333334,0.0,0.4166666666666667,0.5833333333333334,0.0,Vincent F. Martusciello RECAP,0.5833333333333334
45050,45050,100,112,41,0,153,112,41,0,0.7320261437908496,0.2679738562091503,0.0,0.7320261437908496,0.2679738562091503,0.0,Joy F. Campanelli RECAP,0.7320261437908496
45051,45051,100,40,31,0,71,40,31,0,0.5633802816901409,0.43661971830985913,0.0,0.5633802816901409,0.43661971830985913,0.0,Joy F. Campanelli RECAP,0.5633802816901409
45052,45052,100,14,9,0,23,14,9,0,0.6086956521739131,0.391304347826087,0.0,0.6086956521739131,0.391304347826087,0.0,Joy F. Campanelli RECAP,0.6086956521739131
45053,45053,100,62,41,0,103,62,41,0,0.6019417475728155,0.39805825242718446,0.0,0.6019417475728155,0.39805825242718446,0.0,Joy F. Campanelli RECAP,0.6019417475728155
45054,45054,100,47,34,0,81,47,34,0,0.5802469135802469,0.41975308641975306,0.0,0.5802469135802469,0.41975308641975306,0.0,Joy F. Campanelli RECAP,0.5802469135802469
45055,45055,100,5,2,0,7,5,2,0,0.7142857142857143,0.2857142857142857,0.0,0.7142857142857143,0.2857142857142857,0.0,Joy F. Campanelli RECAP,0.7142857142857143
45056,45056,100,52,11,0,63,52,11,0,0.8253968253968254,0.1746031746031746,0.0,0.8253968253968254,0.1746031746031746,0.0,Joy F. Campanelli RECAP,0.8253968253968254
45057,45057,100,96,44,0,140,96,44,0,0.6857142857142857,0.3142857142857143,0.0,0.6857142857142857,0.3142857142857143,0.0,Joy F. Campanelli RECAP,0.6857142857142857
45058,45058,100,47,32,0,79,47,32,0,0.5949367088607594,0.4050632911392405,0.0,0.5949367088607594,0.4050632911392405,0.0,Joy F. Campanelli RECAP,0.5949367088607594
45059,45059,100,64,37,0,101,64,37,0,0.6336633663366337,0.36633663366336633,0.0,0.6336633663366337,0.36633663366336633,0.0,Joy F. Campanelli RECAP,0.6336633663366337
45060,45060,100,71,11,0,82,71,11,0,0.8658536585365854,0.13414634146341464,0.0,0.8658536585365854,0.13414634146341464,0.0,Joy F. Campanelli RECAP,0.8658536585365854
45061,45061,100,34,9,0,43,34,9,0,0.7906976744186046,0.20930232558139536,0.0,0.7906976744186046,0.20930232558139536,0.0,Joy F. Campanelli RECAP,0.7906976744186046
45062,45062,100,85,30,0,115,85,30,0,0.7391304347826086,0.2608695652173913,0.0,0.7391304347826086,0.2608695652173913,0.0,Joy F. Campanelli RECAP,0.7391304347826086
45063,45063,100,41,10,0,51,41,10,0,0.803921568627451,0.19607843137254902,0.0,0.803921568627451,0.19607843137254902,0.0,Joy F. Campanelli RECAP,0.803921568627451
45064,45064,100,63,45,0,108,63,45,0,0.5833333333333334,0.4166666666666667,0.0,0.5833333333333334,0.4166666666666667,0.0,Joy F. Campanelli RECAP,0.5833333333333334
45065,45065,100,37,31,0,68,37,31,0,0.5441176470588235,0.45588235294117646,0.0,0.5441176470588235,0.45588235294117646,0.0,Joy F. Campanelli RECAP,0.5441176470588235
45066,45066,100,65,42,0,107,65,42,0,0.6074766355140186,0.3925233644859813,0.0,0.6074766355140186,0.3925233644859813,0.0,Joy F. Campanelli RECAP,0.6074766355140186
45067,45067,100,37,24,0,61,37,24,0,0.6065573770491803,0.39344262295081966,0.0,0.6065573770491803,0.39344262295081966,0.0,Joy F. Campanelli RECAP,0.6065573770491803
45068,45068,100,61,75,0,136,61,75,0,0.4485294117647059,0.5514705882352942,0.0,0.4485294117647059,0.5514705882352942,0.0,Vincent F. Martusciello RECAP,0.5514705882352942
45069,45069,100,76,76,0,152,76,76,0,0.5,0.5,0.0,0.5,0.5,0.0,Tie,0.5
45070,45070,100,78,78,0,156,78,78,0,0.5,0.5,0.0,0.5,0.5,0.0,Tie,0.5
45071,45071,100,65,42,0,107,65,42,0,0.6074766355140186,0.3925233644859813,0.0,0.6074766355140186,0.3925233644859813,0.0,Joy F. Campanelli RECAP,0.6074766355140186
45072,45072,100,42,36,1,79,42,36,1,0.5316455696202531,0.45569620253164556,0.012658227848101266,0.5316455696202531,0.45569620253164556,0.012658227848101266,Joy F. Campanelli RECAP,0.5316455696202531
45073,45073,100,40,31,0,71,40,31,0,0.5633802816901409,0.43661971830985913,0.0,0.5633802816901409,0.43661971830985913,0.0,Joy F. Campanelli RECAP,0.5633802816901409
45074,45074,100,52,117,0,169,52,117,0,0.3076923076923077,0.6923076923076923,0.0,0.3076923076923077,0.6923076923076923,0.0,Vincent F. Martusciello RECAP,0.6923076923076923
45075,45075,100,91,66,0,157,91,66,0,0.5796178343949044,0.42038216560509556,0.0,0.5796178343949044,0.42038216560509556,0.0,Joy F. Campanelli RECAP,0.5796178343949044
45076,45076,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
45077,45077,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
46001,46001,100,72,40,0,112,72,40,0,0.6428571428571429,0.35714285714285715,0.0,0.6428571428571429,0.35714285714285715,0.0,Joy F. Campanelli RECAP,0.6428571428571429
46002,46002,100,100,35,0,135,100,35,0,0.7407407407407407,0.25925925925925924,0.0,0.7407407407407407,0.25925925925925924,0.0,Joy F. Campanelli RECAP,0.7407407407407407
46003,46003,100,29,21,0,50,29,21,0,0.58,0.42,0.0,0.58,0.42,0.0,Joy F. Campanelli RECAP,0.58
46004,46004,100,145,10,0,155,145,10,0,0.9354838709677419,0.06451612903225806,0.0,0.9354838709677419,0.06451612903225806,0.0,Joy F. Campanelli RECAP,0.9354838709677419
46005,46005,100,139,8,0,147,139,8,0,0.9455782312925171,0.05442176870748299,0.0,0.9455782312925171,0.05442176870748299,0.0,Joy F. Campanelli RECAP,0.9455782312925171
46006,46006,100,61,6,1,68,61,6,1,0.8970588235294118,0.08823529411764706,0.014705882352941176,0.8970588235294118,0.08823529411764706,0.014705882352941176,Joy F. Campanelli RECAP,0.8970588235294118
46007,46007,100,138,31,0,169,138,31,0,0.8165680473372781,0.1834319526627219,0.0,0.8165680473372781,0.1834319526627219,0.0,Joy F. Campanelli RECAP,0.8165680473372781
46008,46008,100,132,15,0,147,132,15,0,0.8979591836734694,0.10204081632653061,0.0,0.8979591836734694,0.10204081632653061,0.0,Joy F. Campanelli RECAP,0.8979591836734694
46009,46009,100,116,4,0,120,116,4,0,0.9666666666666667,0.03333333333333333,0.0,0.9666666666666667,0.03333333333333333,0.0,Joy F. Campanelli RECAP,0.9666666666666667
46010,46010,100,131,3,0,134,131,3,0,0.9776119402985075,0.022388059701492536,0.0,0.9776119402985075,0.022388059701492536,0.0,Joy F. Campanelli RECAP,0.9776119402985075
46011,46011,100,171,34,0,205,171,34,0,0.8341463414634146,0.16585365853658537,0.0,0.8341463414634146,0.16585365853658537,0.0,Joy F. Campanelli RECAP,0.8341463414634146
46012,46012,100,139,4,0,143,139,4,0,0.972027972027972,0.027972027972027972,0.0,0.972027972027972,0.027972027972027972,0.0,Joy F. Campanelli RECAP,0.972027972027972
46013,46013,100,99,3,0,102,99,3,0,0.9705882352941176,0.029411764705882353,0.0,0.9705882352941176,0.029411764705882353,0.0,Joy F. Campanelli RECAP,0.9705882352941176
46014,46014,100,128,10,0,138,128,10,0,0.927536231884058,0.07246376811594203,0.0,0.927536231884058,0.07246376811594203,0.0,Joy F. Campanelli RECAP,0.927536231884058
46015,46015,100,103,9,0,112,103,9,0,0.9196428571428571,0.08035714285714286,0.0,0.9196428571428571,0.08035714285714286,0.0,Joy F. Campanelli RECAP,0.9196428571428571
46016,46016,100,90,9,0,99,90,9,0,0.9090909090909091,0.09090909090909091,0.0,0.9090909090909091,0.09090909090909091,0.0,Joy F. Campanelli RECAP,0.9090909090909091
46017,46017,100,48,37,0,85,48,37,0,0.5647058823529412,0.43529411764705883,0.0,0.5647058823529412,0.43529411764705883,0.0,Joy F. Campanelli RECAP,0.5647058823529412
46018,46018,100,62,46,0,108,62,46,0,0.5740740740740741,0.42592592592592593,0.0,0.5740740740740741,0.42592592592592593,0.0,Joy F. Campanelli RECAP,0.5740740740740741
46019,46019,100,110,46,2,158,110,46,2,0.6962025316455697,0.2911392405063291,0.012658227848101266,0.6962025316455697,0.2911392405063291,0.012658227848101266,Joy F. Campanelli RECAP,0.6962025316455697
46020,46020,100,80,43,0,123,80,43,0,0.6504065040650406,0.34959349593495936,0.0,0.6504065040650406,0.34959349593495936,0.0,Joy F. Campanelli RECAP,0.6504065040650406
46021,46021,100,71,60,0,131,71,60,0,0.5419847328244275,0.4580152671755725,0.0,0.5419847328244275,0.4580152671755725,0.0,Joy F. Campanelli RECAP,0.5419847328244275
46022,46022,100,80,49,0,129,80,49,0,0.6201550387596899,0.3798449612403101,0.0,0.6201550387596899,0.3798449612403101,0.0,Joy F. Campanelli RECAP,0.6201550387596899
46023,46023,100,53,43,0,96,53,43,0,0.5520833333333334,0.4479166666666667,0.0,0.5520833333333334,0.4479166666666667,0.0,Joy F. Campanelli RECAP,0.5520833333333334
46024,46024,100,85,42,0,127,85,42,0,0.6692913385826772,0.33070866141732286,0.0,0.6692913385826772,0.33070866141732286,0.0,Joy F. Campanelli RECAP,0.6692913385826772
46025,46025,100,99,59,0,158,99,59,0,0.6265822784810127,0.37341772151898733,0.0,0.6265822784810127,0.37341772151898733,0.0,Joy F. Campanelli RECAP,0.6265822784810127
46026,46026,100,104,60,0,164,104,60,0,0.6341463414634146,0.36585365853658536,0.0,0.6341463414634146,0.36585365853658536,0.0,Joy F. Campanelli RECAP,0.6341463414634146
46027,46027,100,78,46,0,124,78,46,0,0.6290322580645161,0.3709677419354839,0.0,0.6290322580645161,0.3709677419354839,0.0,Joy F. Campanelli RECAP,0.6290322580645161
46028,46028,100,78,47,0,125,78,47,0,0.624,0.376,0.0,0.624,0.376,0.0,Joy F. Campanelli RECAP,0.624
46029,46029,100,83,55,0,138,83,55,0,0.6014492753623188,0.39855072463768115,0.0,0.6014492753623188,0.39855072463768115,0.0,Joy F. Campanelli RECAP,0.6014492753623188
46030,46030,100,68,52,1,121,68,52,1,0.5619834710743802,0.4297520661157025,0.008264462809917356,0.5619834710743802,0.4297520661157025,0.008264462809917356,Joy F. Campanelli RECAP,0.5619834710743802
46031,46031,100,142,49,1,192,142,49,1,0.7395833333333334,0.2552083333333333,0.005208333333333333,0.7395833333333334,0.2552083333333333,0.005208333333333333,Joy F. Campanelli RECAP,0.7395833333333334
