ED,Reported As,Reporting,Jose Luis Fernandez (Republican),Nydia M. Velazquez (Democratic),Allan E. Romaguera (Conservative),Nydia M. Velazquez (Working Families),Scattered,Total Votes,Jose Luis Fernandez RECAP,Nydia M. Velazquez RECAP,Allan E. Romaguera RECAP,Scattered RECAP,p_Jose Luis Fernandez (Republican),p_Nydia M. Velazquez (Democratic),p_Allan E. Romaguera (Conservative),p_Nydia M. Velazquez (Working Families),p_Scattered,p_Jose Luis Fernandez RECAP,p_Nydia M. Velazquez RECAP,p_Allan E. Romaguera RECAP,p_Scattered RECAP,winner,winner_p
50067,50067,100,5,28,2,2,3,40,5,30,2,3,0.125,0.7,0.05,0.05,0.075,0.125,0.75,0.05,0.075,Nydia M. Velazquez RECAP,0.75
50068,50068,100,8,58,0,1,1,68,8,59,0,1,0.11764705882352941,0.8529411764705882,0.0,0.014705882352941176,0.014705882352941176,0.11764705882352941,0.8676470588235294,0.0,0.014705882352941176,Nydia M. Velazquez RECAP,0.8676470588235294
50069,50069,100,12,73,2,2,0,89,12,75,2,0,0.1348314606741573,0.8202247191011236,0.02247191011235955,0.02247191011235955,0.0,0.1348314606741573,0.8426966292134831,0.02247191011235955,0.0,Nydia M. Velazquez RECAP,0.8426966292134831
50070,50070,100,12,33,1,1,2,49,12,34,1,2,0.24489795918367346,0.673469387755102,0.02040816326530612,0.02040816326530612,0.04081632653061224,0.24489795918367346,0.6938775510204082,0.02040816326530612,0.04081632653061224,Nydia M. Velazquez RECAP,0.6938775510204082
50071,50071,100,2,16,0,1,0,19,2,17,0,0,0.10526315789473684,0.8421052631578947,0.0,0.05263157894736842,0.0,0.10526315789473684,0.8947368421052632,0.0,0.0,Nydia M. Velazquez RECAP,0.8947368421052632
50072,50072,100,4,29,2,5,0,40,4,34,2,0,0.1,0.725,0.05,0.125,0.0,0.1,0.85,0.05,0.0,Nydia M. Velazquez RECAP,0.85
50073,50073,100,10,44,1,1,0,56,10,45,1,0,0.17857142857142858,0.7857142857142857,0.017857142857142856,0.017857142857142856,0.0,0.17857142857142858,0.8035714285714286,0.017857142857142856,0.0,Nydia M. Velazquez RECAP,0.8035714285714286
50074,50074,100,9,48,1,1,0,59,9,49,1,0,0.15254237288135594,0.8135593220338984,0.01694915254237288,0.01694915254237288,0.0,0.15254237288135594,0.8305084745762712,0.01694915254237288,0.0,Nydia M. Velazquez RECAP,0.8305084745762712
50075,50075,100,15,58,1,4,0,78,15,62,1,0,0.19230769230769232,0.7435897435897436,0.01282051282051282,0.05128205128205128,0.0,0.19230769230769232,0.7948717948717948,0.01282051282051282,0.0,Nydia M. Velazquez RECAP,0.7948717948717948
50076,50076,100,10,69,3,4,0,86,10,73,3,0,0.11627906976744186,0.8023255813953488,0.03488372093023256,0.046511627906976744,0.0,0.11627906976744186,0.8488372093023255,0.03488372093023256,0.0,Nydia M. Velazquez RECAP,0.8488372093023255
50077,50077,100,17,49,4,2,0,72,17,51,4,0,0.2361111111111111,0.6805555555555556,0.05555555555555555,0.027777777777777776,0.0,0.2361111111111111,0.7083333333333334,0.05555555555555555,0.0,Nydia M. Velazquez RECAP,0.7083333333333334
50078,50078,100,18,48,3,4,0,73,18,52,3,0,0.2465753424657534,0.6575342465753424,0.0410958904109589,0.0547945205479452,0.0,0.2465753424657534,0.7123287671232876,0.0410958904109589,0.0,Nydia M. Velazquez RECAP,0.7123287671232876
50079,50079,100,11,39,5,2,0,57,11,41,5,0,0.19298245614035087,0.6842105263157895,0.08771929824561403,0.03508771929824561,0.0,0.19298245614035087,0.7192982456140351,0.08771929824561403,0.0,Nydia M. Velazquez RECAP,0.7192982456140351
50080,50080,100,6,42,3,6,1,58,6,48,3,1,0.10344827586206896,0.7241379310344828,0.05172413793103448,0.10344827586206896,0.017241379310344827,0.10344827586206896,0.8275862068965517,0.05172413793103448,0.017241379310344827,Nydia M. Velazquez RECAP,0.8275862068965517
50081,50081,100,0,14,0,3,0,17,0,17,0,0,0.0,0.8235294117647058,0.0,0.17647058823529413,0.0,0.0,1.0,0.0,0.0,Nydia M. Velazquez RECAP,1.0
50082,50082,100,2,16,0,3,3,24,2,19,0,3,0.08333333333333333,0.6666666666666666,0.0,0.125,0.125,0.08333333333333333,0.7916666666666666,0.0,0.125,Nydia M. Velazquez RECAP,0.7916666666666666
50083,50083,100,6,68,2,7,1,84,6,75,2,1,0.07142857142857142,0.8095238095238095,0.023809523809523808,0.08333333333333333,0.011904761904761904,0.07142857142857142,0.8928571428571429,0.023809523809523808,0.011904761904761904,Nydia M. Velazquez RECAP,0.8928571428571429
50088,50088,100,0,15,0,3,0,18,0,18,0,0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,Nydia M. Velazquez RECAP,1.0
50095,50095,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
50097,50097,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
50098,50088,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
50099,50013,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
51001,51001,100,22,157,7,58,0,244,22,215,7,0,0.09016393442622951,0.6434426229508197,0.028688524590163935,0.23770491803278687,0.0,0.09016393442622951,0.8811475409836066,0.028688524590163935,0.0,Nydia M. Velazquez RECAP,0.8811475409836066
51002,51002,100,22,85,6,16,1,130,22,101,6,1,0.16923076923076924,0.6538461538461539,0.046153846153846156,0.12307692307692308,0.007692307692307693,0.16923076923076924,0.7769230769230769,0.046153846153846156,0.007692307692307693,Nydia M. Velazquez RECAP,0.7769230769230769
51003,51003,100,20,131,7,29,0,187,20,160,7,0,0.10695187165775401,0.7005347593582888,0.0374331550802139,0.15508021390374332,0.0,0.10695187165775401,0.8556149732620321,0.0374331550802139,0.0,Nydia M. Velazquez RECAP,0.8556149732620321
51004,51004,100,13,85,1,14,0,113,13,99,1,0,0.11504424778761062,0.7522123893805309,0.008849557522123894,0.12389380530973451,0.0,0.11504424778761062,0.8761061946902655,0.008849557522123894,0.0,Nydia M. Velazquez RECAP,0.8761061946902655
51005,51005,100,19,123,7,27,0,176,19,150,7,0,0.10795454545454546,0.6988636363636364,0.03977272727272727,0.1534090909090909,0.0,0.10795454545454546,0.8522727272727273,0.03977272727272727,0.0,Nydia M. Velazquez RECAP,0.8522727272727273
51006,51006,100,21,85,5,16,0,127,21,101,5,0,0.16535433070866143,0.6692913385826772,0.03937007874015748,0.12598425196850394,0.0,0.16535433070866143,0.7952755905511811,0.03937007874015748,0.0,Nydia M. Velazquez RECAP,0.7952755905511811
51007,51007,100,10,169,3,86,0,268,10,255,3,0,0.03731343283582089,0.6305970149253731,0.011194029850746268,0.3208955223880597,0.0,0.03731343283582089,0.9514925373134329,0.011194029850746268,0.0,Nydia M. Velazquez RECAP,0.9514925373134329
51008,51008,100,4,43,0,10,0,57,4,53,0,0,0.07017543859649122,0.7543859649122807,0.0,0.17543859649122806,0.0,0.07017543859649122,0.9298245614035088,0.0,0.0,Nydia M. Velazquez RECAP,0.9298245614035088
51009,51009,100,3,26,0,1,0,30,3,27,0,0,0.1,0.8666666666666667,0.0,0.03333333333333333,0.0,0.1,0.9,0.0,0.0,Nydia M. Velazquez RECAP,0.9
51010,51010,100,8,10,0,0,0,18,8,10,0,0,0.4444444444444444,0.5555555555555556,0.0,0.0,0.0,0.4444444444444444,0.5555555555555556,0.0,0.0,Nydia M. Velazquez RECAP,0.5555555555555556
51011,51011,100,14,195,12,90,0,311,14,285,12,0,0.04501607717041801,0.6270096463022508,0.03858520900321544,0.28938906752411575,0.0,0.04501607717041801,0.9163987138263665,0.03858520900321544,0.0,Nydia M. Velazquez RECAP,0.9163987138263665
51012,51012,100,14,156,4,82,1,257,14,238,4,1,0.054474708171206226,0.6070038910505836,0.01556420233463035,0.31906614785992216,0.0038910505836575876,0.054474708171206226,0.9260700389105059,0.01556420233463035,0.0038910505836575876,Nydia M. Velazquez RECAP,0.9260700389105059
51013,51013,100,11,92,3,45,0,151,11,137,3,0,0.0728476821192053,0.609271523178808,0.019867549668874173,0.2980132450331126,0.0,0.0728476821192053,0.9072847682119205,0.019867549668874173,0.0,Nydia M. Velazquez RECAP,0.9072847682119205
51017,51017,100,22,72,5,15,0,114,22,87,5,0,0.19298245614035087,0.631578947368421,0.043859649122807015,0.13157894736842105,0.0,0.19298245614035087,0.7631578947368421,0.043859649122807015,0.0,Nydia M. Velazquez RECAP,0.7631578947368421
51020,51020,100,8,89,4,46,0,147,8,135,4,0,0.05442176870748299,0.6054421768707483,0.027210884353741496,0.3129251700680272,0.0,0.05442176870748299,0.9183673469387755,0.027210884353741496,0.0,Nydia M. Velazquez RECAP,0.9183673469387755
51022,51022,100,1,18,0,15,0,34,1,33,0,0,0.029411764705882353,0.5294117647058824,0.0,0.4411764705882353,0.0,0.029411764705882353,0.9705882352941176,0.0,0.0,Nydia M. Velazquez RECAP,0.9705882352941176
51023,51023,100,0,25,1,5,0,31,0,30,1,0,0.0,0.8064516129032258,0.03225806451612903,0.16129032258064516,0.0,0.0,0.967741935483871,0.03225806451612903,0.0,Nydia M. Velazquez RECAP,0.967741935483871
51029,51029,100,23,107,8,12,0,150,23,119,8,0,0.15333333333333332,0.7133333333333334,0.05333333333333334,0.08,0.0,0.15333333333333332,0.7933333333333333,0.05333333333333334,0.0,Nydia M. Velazquez RECAP,0.7933333333333333
51030,51030,100,22,91,7,26,0,146,22,117,7,0,0.1506849315068493,0.6232876712328768,0.04794520547945205,0.1780821917808219,0.0,0.1506849315068493,0.8013698630136986,0.04794520547945205,0.0,Nydia M. Velazquez RECAP,0.8013698630136986
51031,51031,100,27,111,7,16,1,162,27,127,7,1,0.16666666666666666,0.6851851851851852,0.043209876543209874,0.09876543209876543,0.006172839506172839,0.16666666666666666,0.7839506172839507,0.043209876543209874,0.006172839506172839,Nydia M. Velazquez RECAP,0.7839506172839507
51032,51032,100,11,102,5,12,0,130,11,114,5,0,0.08461538461538462,0.7846153846153846,0.038461538461538464,0.09230769230769231,0.0,0.08461538461538462,0.8769230769230769,0.038461538461538464,0.0,Nydia M. Velazquez RECAP,0.8769230769230769
51033,51033,100,13,88,3,14,0,118,13,102,3,0,0.11016949152542373,0.7457627118644068,0.025423728813559324,0.11864406779661017,0.0,0.11016949152542373,0.864406779661017,0.025423728813559324,0.0,Nydia M. Velazquez RECAP,0.864406779661017
51034,51034,100,8,77,1,7,0,93,8,84,1,0,0.08602150537634409,0.8279569892473119,0.010752688172043012,0.07526881720430108,0.0,0.08602150537634409,0.9032258064516129,0.010752688172043012,0.0,Nydia M. Velazquez RECAP,0.9032258064516129
51035,51035,100,6,104,3,14,2,129,6,118,3,2,0.046511627906976744,0.8062015503875969,0.023255813953488372,0.10852713178294573,0.015503875968992248,0.046511627906976744,0.9147286821705426,0.023255813953488372,0.015503875968992248,Nydia M. Velazquez RECAP,0.9147286821705426
51036,51036,100,9,114,5,33,0,161,9,147,5,0,0.055900621118012424,0.7080745341614907,0.031055900621118012,0.20496894409937888,0.0,0.055900621118012424,0.9130434782608695,0.031055900621118012,0.0,Nydia M. Velazquez RECAP,0.9130434782608695
51037,51037,100,7,83,4,41,0,135,7,124,4,0,0.05185185185185185,0.6148148148148148,0.02962962962962963,0.3037037037037037,0.0,0.05185185185185185,0.9185185185185185,0.02962962962962963,0.0,Nydia M. Velazquez RECAP,0.9185185185185185
51038,51038,100,24,136,6,48,0,214,24,184,6,0,0.11214953271028037,0.6355140186915887,0.028037383177570093,0.22429906542056074,0.0,0.11214953271028037,0.8598130841121495,0.028037383177570093,0.0,Nydia M. Velazquez RECAP,0.8598130841121495
51039,51039,100,20,156,2,44,0,222,20,200,2,0,0.09009009009009009,0.7027027027027027,0.009009009009009009,0.1981981981981982,0.0,0.09009009009009009,0.9009009009009009,0.009009009009009009,0.0,Nydia M. Velazquez RECAP,0.9009009009009009
51040,51040,100,25,189,9,48,1,272,25,237,9,1,0.09191176470588236,0.6948529411764706,0.03308823529411765,0.17647058823529413,0.003676470588235294,0.09191176470588236,0.8713235294117647,0.03308823529411765,0.003676470588235294,Nydia M. Velazquez RECAP,0.8713235294117647
51041,51041,100,25,130,6,47,0,208,25,177,6,0,0.1201923076923077,0.625,0.028846153846153848,0.22596153846153846,0.0,0.1201923076923077,0.8509615384615384,0.028846153846153848,0.0,Nydia M. Velazquez RECAP,0.8509615384615384
51042,51042,100,18,137,2,55,0,212,18,192,2,0,0.08490566037735849,0.6462264150943396,0.009433962264150943,0.25943396226415094,0.0,0.08490566037735849,0.9056603773584906,0.009433962264150943,0.0,Nydia M. Velazquez RECAP,0.9056603773584906
51043,51043,100,9,62,3,21,0,95,9,83,3,0,0.09473684210526316,0.6526315789473685,0.031578947368421054,0.22105263157894736,0.0,0.09473684210526316,0.8736842105263158,0.031578947368421054,0.0,Nydia M. Velazquez RECAP,0.8736842105263158
51044,51044,100,0,18,1,11,0,30,0,29,1,0,0.0,0.6,0.03333333333333333,0.36666666666666664,0.0,0.0,0.9666666666666667,0.03333333333333333,0.0,Nydia M. Velazquez RECAP,0.9666666666666667
51046,51046,100,0,4,0,4,0,8,0,8,0,0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,Nydia M. Velazquez RECAP,1.0
51049,51049,100,6,115,2,62,0,185,6,177,2,0,0.032432432432432434,0.6216216216216216,0.010810810810810811,0.33513513513513515,0.0,0.032432432432432434,0.9567567567567568,0.010810810810810811,0.0,Nydia M. Velazquez RECAP,0.9567567567567568
51050,51050,100,2,38,0,1,0,41,2,39,0,0,0.04878048780487805,0.926829268292683,0.0,0.024390243902439025,0.0,0.04878048780487805,0.9512195121951219,0.0,0.0,Nydia M. Velazquez RECAP,0.9512195121951219
51051,51051,100,21,110,6,15,0,152,21,125,6,0,0.13815789473684212,0.7236842105263158,0.039473684210526314,0.09868421052631579,0.0,0.13815789473684212,0.8223684210526315,0.039473684210526314,0.0,Nydia M. Velazquez RECAP,0.8223684210526315
51052,51052,100,5,131,3,19,1,159,5,150,3,1,0.031446540880503145,0.8238993710691824,0.018867924528301886,0.11949685534591195,0.006289308176100629,0.031446540880503145,0.9433962264150944,0.018867924528301886,0.006289308176100629,Nydia M. Velazquez RECAP,0.9433962264150944
51053,51053,100,12,80,6,14,0,112,12,94,6,0,0.10714285714285714,0.7142857142857143,0.05357142857142857,0.125,0.0,0.10714285714285714,0.8392857142857143,0.05357142857142857,0.0,Nydia M. Velazquez RECAP,0.8392857142857143
51054,51054,100,3,50,1,15,0,69,3,65,1,0,0.043478260869565216,0.7246376811594203,0.014492753623188406,0.21739130434782608,0.0,0.043478260869565216,0.9420289855072463,0.014492753623188406,0.0,Nydia M. Velazquez RECAP,0.9420289855072463
51055,51055,100,9,114,1,42,0,166,9,156,1,0,0.05421686746987952,0.6867469879518072,0.006024096385542169,0.25301204819277107,0.0,0.05421686746987952,0.9397590361445783,0.006024096385542169,0.0,Nydia M. Velazquez RECAP,0.9397590361445783
51056,51056,100,0,4,0,2,0,6,0,6,0,0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,Nydia M. Velazquez RECAP,1.0
51057,51057,100,4,18,0,0,0,22,4,18,0,0,0.18181818181818182,0.8181818181818182,0.0,0.0,0.0,0.18181818181818182,0.8181818181818182,0.0,0.0,Nydia M. Velazquez RECAP,0.8181818181818182
51058,51058,100,5,22,0,5,0,32,5,27,0,0,0.15625,0.6875,0.0,0.15625,0.0,0.15625,0.84375,0.0,0.0,Nydia M. Velazquez RECAP,0.84375
51063,51063,100,25,111,10,9,0,155,25,120,10,0,0.16129032258064516,0.7161290322580646,0.06451612903225806,0.05806451612903226,0.0,0.16129032258064516,0.7741935483870968,0.06451612903225806,0.0,Nydia M. Velazquez RECAP,0.7741935483870968
51064,51064,100,14,115,1,11,0,141,14,126,1,0,0.09929078014184398,0.8156028368794326,0.0070921985815602835,0.07801418439716312,0.0,0.09929078014184398,0.8936170212765957,0.0070921985815602835,0.0,Nydia M. Velazquez RECAP,0.8936170212765957
51065,51065,100,13,113,1,9,0,136,13,122,1,0,0.09558823529411764,0.8308823529411765,0.007352941176470588,0.0661764705882353,0.0,0.09558823529411764,0.8970588235294118,0.007352941176470588,0.0,Nydia M. Velazquez RECAP,0.8970588235294118
51066,51066,100,11,102,8,13,0,134,11,115,8,0,0.08208955223880597,0.7611940298507462,0.05970149253731343,0.09701492537313433,0.0,0.08208955223880597,0.8582089552238806,0.05970149253731343,0.0,Nydia M. Velazquez RECAP,0.8582089552238806
51067,51067,100,15,129,2,4,0,150,15,133,2,0,0.1,0.86,0.013333333333333334,0.02666666666666667,0.0,0.1,0.8866666666666667,0.013333333333333334,0.0,Nydia M. Velazquez RECAP,0.8866666666666667
51069,51069,100,3,106,1,7,0,117,3,113,1,0,0.02564102564102564,0.905982905982906,0.008547008547008548,0.05982905982905983,0.0,0.02564102564102564,0.9658119658119658,0.008547008547008548,0.0,Nydia M. Velazquez RECAP,0.9658119658119658
51070,51070,100,3,176,0,7,0,186,3,183,0,0,0.016129032258064516,0.946236559139785,0.0,0.03763440860215054,0.0,0.016129032258064516,0.9838709677419355,0.0,0.0,Nydia M. Velazquez RECAP,0.9838709677419355
51071,51071,100,3,164,2,15,0,184,3,179,2,0,0.016304347826086956,0.8913043478260869,0.010869565217391304,0.08152173913043478,0.0,0.016304347826086956,0.9728260869565217,0.010869565217391304,0.0,Nydia M. Velazquez RECAP,0.9728260869565217
51072,51072,100,0,66,1,32,0,99,0,98,1,0,0.0,0.6666666666666666,0.010101010101010102,0.32323232323232326,0.0,0.0,0.98989898989899,0.010101010101010102,0.0,Nydia M. Velazquez RECAP,0.98989898989899
51073,51073,100,1,117,3,28,0,149,1,145,3,0,0.006711409395973154,0.785234899328859,0.020134228187919462,0.18791946308724833,0.0,0.006711409395973154,0.9731543624161074,0.020134228187919462,0.0,Nydia M. Velazquez RECAP,0.9731543624161074
51074,51074,100,6,124,5,1,0,136,6,125,5,0,0.04411764705882353,0.9117647058823529,0.03676470588235294,0.007352941176470588,0.0,0.04411764705882353,0.9191176470588235,0.03676470588235294,0.0,Nydia M. Velazquez RECAP,0.9191176470588235
51075,51072,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
51078,51044,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
52001,52001,100,12,83,2,38,2,137,12,121,2,2,0.08759124087591241,0.6058394160583942,0.014598540145985401,0.2773722627737226,0.014598540145985401,0.08759124087591241,0.8832116788321168,0.014598540145985401,0.014598540145985401,Nydia M. Velazquez RECAP,0.8832116788321168
52002,52002,100,13,79,2,21,0,115,13,100,2,0,0.11304347826086956,0.6869565217391305,0.017391304347826087,0.1826086956521739,0.0,0.11304347826086956,0.8695652173913043,0.017391304347826087,0.0,Nydia M. Velazquez RECAP,0.8695652173913043
52004,52004,100,16,97,3,20,0,136,16,117,3,0,0.11764705882352941,0.7132352941176471,0.022058823529411766,0.14705882352941177,0.0,0.11764705882352941,0.8602941176470589,0.022058823529411766,0.0,Nydia M. Velazquez RECAP,0.8602941176470589
52005,52005,100,15,104,1,17,0,137,15,121,1,0,0.10948905109489052,0.7591240875912408,0.0072992700729927005,0.12408759124087591,0.0,0.10948905109489052,0.8832116788321168,0.0072992700729927005,0.0,Nydia M. Velazquez RECAP,0.8832116788321168
52006,52006,100,3,50,2,17,1,73,3,67,2,1,0.0410958904109589,0.684931506849315,0.0273972602739726,0.2328767123287671,0.0136986301369863,0.0410958904109589,0.9178082191780822,0.0273972602739726,0.0136986301369863,Nydia M. Velazquez RECAP,0.9178082191780822
52007,52007,100,38,256,15,85,1,395,38,341,15,1,0.09620253164556962,0.6481012658227848,0.0379746835443038,0.21518987341772153,0.002531645569620253,0.09620253164556962,0.8632911392405064,0.0379746835443038,0.002531645569620253,Nydia M. Velazquez RECAP,0.8632911392405064
52008,52008,100,44,283,9,66,1,403,44,349,9,1,0.10918114143920596,0.7022332506203474,0.022332506203473945,0.16377171215880892,0.0024813895781637717,0.10918114143920596,0.8660049627791563,0.022332506203473945,0.0024813895781637717,Nydia M. Velazquez RECAP,0.8660049627791563
52009,52009,100,33,185,7,81,1,307,33,266,7,1,0.10749185667752444,0.6026058631921825,0.02280130293159609,0.26384364820846906,0.003257328990228013,0.10749185667752444,0.8664495114006515,0.02280130293159609,0.003257328990228013,Nydia M. Velazquez RECAP,0.8664495114006515
52010,52010,100,35,309,8,76,1,429,35,385,8,1,0.08158508158508158,0.7202797202797203,0.018648018648018648,0.17715617715617715,0.002331002331002331,0.08158508158508158,0.8974358974358975,0.018648018648018648,0.002331002331002331,Nydia M. Velazquez RECAP,0.8974358974358975
52011,52011,100,35,228,12,45,0,320,35,273,12,0,0.109375,0.7125,0.0375,0.140625,0.0,0.109375,0.853125,0.0375,0.0,Nydia M. Velazquez RECAP,0.853125
52012,52012,100,47,190,11,61,2,311,47,251,11,2,0.15112540192926044,0.6109324758842444,0.03536977491961415,0.19614147909967847,0.006430868167202572,0.15112540192926044,0.8070739549839229,0.03536977491961415,0.006430868167202572,Nydia M. Velazquez RECAP,0.8070739549839229
52013,52013,100,37,245,4,48,2,336,37,293,4,2,0.11011904761904762,0.7291666666666666,0.011904761904761904,0.14285714285714285,0.005952380952380952,0.11011904761904762,0.8720238095238095,0.011904761904761904,0.005952380952380952,Nydia M. Velazquez RECAP,0.8720238095238095
52014,52014,100,33,227,10,65,1,336,33,292,10,1,0.09821428571428571,0.6755952380952381,0.02976190476190476,0.19345238095238096,0.002976190476190476,0.09821428571428571,0.8690476190476191,0.02976190476190476,0.002976190476190476,Nydia M. Velazquez RECAP,0.8690476190476191
52015,52015,100,43,243,11,77,1,375,43,320,11,1,0.11466666666666667,0.648,0.029333333333333333,0.20533333333333334,0.0026666666666666666,0.11466666666666667,0.8533333333333334,0.029333333333333333,0.0026666666666666666,Nydia M. Velazquez RECAP,0.8533333333333334
52016,52016,100,45,260,16,69,0,390,45,329,16,0,0.11538461538461539,0.6666666666666666,0.041025641025641026,0.17692307692307693,0.0,0.11538461538461539,0.8435897435897436,0.041025641025641026,0.0,Nydia M. Velazquez RECAP,0.8435897435897436
52017,52017,100,45,235,2,50,0,332,45,285,2,0,0.1355421686746988,0.7078313253012049,0.006024096385542169,0.15060240963855423,0.0,0.1355421686746988,0.858433734939759,0.006024096385542169,0.0,Nydia M. Velazquez RECAP,0.858433734939759
52018,52018,100,39,199,6,82,0,326,39,281,6,0,0.1196319018404908,0.6104294478527608,0.018404907975460124,0.25153374233128833,0.0,0.1196319018404908,0.8619631901840491,0.018404907975460124,0.0,Nydia M. Velazquez RECAP,0.8619631901840491
52019,52019,100,26,201,5,65,0,297,26,266,5,0,0.08754208754208755,0.6767676767676768,0.016835016835016835,0.21885521885521886,0.0,0.08754208754208755,0.8956228956228957,0.016835016835016835,0.0,Nydia M. Velazquez RECAP,0.8956228956228957
52020,52020,100,47,181,10,59,0,297,47,240,10,0,0.15824915824915825,0.6094276094276094,0.03367003367003367,0.19865319865319866,0.0,0.15824915824915825,0.8080808080808081,0.03367003367003367,0.0,Nydia M. Velazquez RECAP,0.8080808080808081
52021,52021,100,3,25,0,18,0,46,3,43,0,0,0.06521739130434782,0.5434782608695652,0.0,0.391304347826087,0.0,0.06521739130434782,0.9347826086956522,0.0,0.0,Nydia M. Velazquez RECAP,0.9347826086956522
52022,52022,100,11,111,2,34,0,158,11,145,2,0,0.06962025316455696,0.7025316455696202,0.012658227848101266,0.21518987341772153,0.0,0.06962025316455696,0.9177215189873418,0.012658227848101266,0.0,Nydia M. Velazquez RECAP,0.9177215189873418
52023,52023,100,50,395,18,125,1,589,50,520,18,1,0.08488964346349745,0.6706281833616299,0.030560271646859084,0.21222410865874364,0.001697792869269949,0.08488964346349745,0.8828522920203735,0.030560271646859084,0.001697792869269949,Nydia M. Velazquez RECAP,0.8828522920203735
52028,52028,100,33,216,3,51,1,304,33,267,3,1,0.10855263157894737,0.7105263157894737,0.009868421052631578,0.16776315789473684,0.003289473684210526,0.10855263157894737,0.8782894736842105,0.009868421052631578,0.003289473684210526,Nydia M. Velazquez RECAP,0.8782894736842105
52029,52029,100,17,197,8,62,1,285,17,259,8,1,0.05964912280701754,0.6912280701754386,0.028070175438596492,0.21754385964912282,0.0035087719298245615,0.05964912280701754,0.9087719298245615,0.028070175438596492,0.0035087719298245615,Nydia M. Velazquez RECAP,0.9087719298245615
52034,52034,100,16,179,1,66,1,263,16,245,1,1,0.060836501901140684,0.6806083650190115,0.0038022813688212928,0.2509505703422053,0.0038022813688212928,0.060836501901140684,0.9315589353612167,0.0038022813688212928,0.0038022813688212928,Nydia M. Velazquez RECAP,0.9315589353612167
52035,52035,100,29,183,6,93,1,312,29,276,6,1,0.09294871794871795,0.5865384615384616,0.019230769230769232,0.2980769230769231,0.003205128205128205,0.09294871794871795,0.8846153846153846,0.019230769230769232,0.003205128205128205,Nydia M. Velazquez RECAP,0.8846153846153846
52036,52036,100,33,250,8,69,0,360,33,319,8,0,0.09166666666666666,0.6944444444444444,0.022222222222222223,0.19166666666666668,0.0,0.09166666666666666,0.8861111111111111,0.022222222222222223,0.0,Nydia M. Velazquez RECAP,0.8861111111111111
52037,52037,100,32,211,7,84,1,335,32,295,7,1,0.0955223880597015,0.6298507462686567,0.020895522388059702,0.2507462686567164,0.0029850746268656717,0.0955223880597015,0.8805970149253731,0.020895522388059702,0.0029850746268656717,Nydia M. Velazquez RECAP,0.8805970149253731
52038,52038,100,26,230,12,90,0,358,26,320,12,0,0.07262569832402235,0.6424581005586593,0.0335195530726257,0.25139664804469275,0.0,0.07262569832402235,0.8938547486033519,0.0335195530726257,0.0,Nydia M. Velazquez RECAP,0.8938547486033519
52039,52039,100,26,203,10,89,0,328,26,292,10,0,0.07926829268292683,0.6189024390243902,0.03048780487804878,0.27134146341463417,0.0,0.07926829268292683,0.8902439024390244,0.03048780487804878,0.0,Nydia M. Velazquez RECAP,0.8902439024390244
52040,52040,100,17,270,1,82,2,372,17,352,1,2,0.0456989247311828,0.7258064516129032,0.002688172043010753,0.22043010752688172,0.005376344086021506,0.0456989247311828,0.946236559139785,0.002688172043010753,0.005376344086021506,Nydia M. Velazquez RECAP,0.946236559139785
52041,52041,100,5,71,1,51,0,128,5,122,1,0,0.0390625,0.5546875,0.0078125,0.3984375,0.0,0.0390625,0.953125,0.0078125,0.0,Nydia M. Velazquez RECAP,0.953125
52042,52042,100,21,148,5,79,0,253,21,227,5,0,0.08300395256916997,0.5849802371541502,0.019762845849802372,0.31225296442687744,0.0,0.08300395256916997,0.8972332015810277,0.019762845849802372,0.0,Nydia M. Velazquez RECAP,0.8972332015810277
52043,52043,100,23,183,5,79,0,290,23,262,5,0,0.07931034482758621,0.6310344827586207,0.017241379310344827,0.27241379310344827,0.0,0.07931034482758621,0.903448275862069,0.017241379310344827,0.0,Nydia M. Velazquez RECAP,0.903448275862069
52044,52044,100,33,207,21,93,0,354,33,300,21,0,0.09322033898305085,0.5847457627118644,0.059322033898305086,0.2627118644067797,0.0,0.09322033898305085,0.847457627118644,0.059322033898305086,0.0,Nydia M. Velazquez RECAP,0.847457627118644
52045,52045,100,31,163,9,81,0,284,31,244,9,0,0.10915492957746478,0.573943661971831,0.03169014084507042,0.2852112676056338,0.0,0.10915492957746478,0.8591549295774648,0.03169014084507042,0.0,Nydia M. Velazquez RECAP,0.8591549295774648
