ED,Reported As,Reporting,Kevin S. Parker (Democratic),Herman G. Hall (Conservative),Scattered,Kevin S. Parker (Working Families),Total Votes,Kevin S. Parker RECAP,Herman G. Hall RECAP,Scattered RECAP,p_Kevin S. Parker (Democratic),p_Herman G. Hall (Conservative),p_Scattered,p_Kevin S. Parker (Working Families),p_Kevin S. Parker RECAP,p_Herman G. Hall RECAP,p_Scattered RECAP,winner,winner_p
44078,44078,100,211,23,3,173,410,384,23,3,0.5146341463414634,0.05609756097560976,0.007317073170731708,0.4219512195121951,0.9365853658536586,0.05609756097560976,0.007317073170731708,Kevin S. Parker RECAP,0.9365853658536586
44079,44079,100,198,31,2,99,330,297,31,2,0.6,0.09393939393939393,0.006060606060606061,0.3,0.9,0.09393939393939393,0.006060606060606061,Kevin S. Parker RECAP,0.9
44080,44080,100,134,17,0,116,267,250,17,0,0.50187265917603,0.06367041198501873,0.0,0.4344569288389513,0.9363295880149812,0.06367041198501873,0.0,Kevin S. Parker RECAP,0.9363295880149812
44083,44083,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
51009,51009,100,23,5,0,4,32,27,5,0,0.71875,0.15625,0.0,0.125,0.84375,0.15625,0.0,Kevin S. Parker RECAP,0.84375
51010,51010,100,9,4,0,0,13,9,4,0,0.6923076923076923,0.3076923076923077,0.0,0.0,0.6923076923076923,0.3076923076923077,0.0,Kevin S. Parker RECAP,0.6923076923076923
51011,51011,100,183,18,0,96,297,279,18,0,0.6161616161616161,0.06060606060606061,0.0,0.32323232323232326,0.9393939393939394,0.06060606060606061,0.0,Kevin S. Parker RECAP,0.9393939393939394
51012,51012,100,150,8,1,87,246,237,8,1,0.6097560975609756,0.032520325203252036,0.0040650406504065045,0.35365853658536583,0.9634146341463414,0.032520325203252036,0.0040650406504065045,Kevin S. Parker RECAP,0.9634146341463414
51013,51013,100,91,9,0,47,147,138,9,0,0.6190476190476191,0.061224489795918366,0.0,0.3197278911564626,0.9387755102040817,0.061224489795918366,0.0,Kevin S. Parker RECAP,0.9387755102040817
51019,51019,100,3,3,1,0,7,3,3,1,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,Tie,0.42857142857142855
51021,51021,100,29,5,0,14,48,43,5,0,0.6041666666666666,0.10416666666666667,0.0,0.2916666666666667,0.8958333333333334,0.10416666666666667,0.0,Kevin S. Parker RECAP,0.8958333333333334
51022,51022,100,16,1,0,18,35,34,1,0,0.45714285714285713,0.02857142857142857,0.0,0.5142857142857142,0.9714285714285714,0.02857142857142857,0.0,Kevin S. Parker RECAP,0.9714285714285714
52068,52068,100,239,32,0,130,401,369,32,0,0.5960099750623441,0.0798004987531172,0.0,0.32418952618453867,0.9201995012468828,0.0798004987531172,0.0,Kevin S. Parker RECAP,0.9201995012468828
52069,52069,100,202,29,0,100,331,302,29,0,0.6102719033232629,0.08761329305135952,0.0,0.3021148036253776,0.9123867069486404,0.08761329305135952,0.0,Kevin S. Parker RECAP,0.9123867069486404
52070,52070,100,211,31,1,136,379,347,31,1,0.5567282321899736,0.08179419525065963,0.002638522427440633,0.35883905013192613,0.9155672823218998,0.08179419525065963,0.002638522427440633,Kevin S. Parker RECAP,0.9155672823218998
52071,52071,100,231,16,3,124,374,355,16,3,0.6176470588235294,0.0427807486631016,0.008021390374331552,0.3315508021390374,0.9491978609625669,0.0427807486631016,0.008021390374331552,Kevin S. Parker RECAP,0.9491978609625669
52076,52076,100,55,1,0,34,90,89,1,0,0.6111111111111112,0.011111111111111112,0.0,0.37777777777777777,0.9888888888888889,0.011111111111111112,0.0,Kevin S. Parker RECAP,0.9888888888888889
52077,52077,100,4,0,0,1,5,5,0,0,0.8,0.0,0.0,0.2,1.0,0.0,0.0,Kevin S. Parker RECAP,1.0
52078,52078,100,107,10,0,46,163,153,10,0,0.656441717791411,0.06134969325153374,0.0,0.2822085889570552,0.9386503067484663,0.06134969325153374,0.0,Kevin S. Parker RECAP,0.9386503067484663
52080,52080,100,37,1,0,16,54,53,1,0,0.6851851851851852,0.018518518518518517,0.0,0.2962962962962963,0.9814814814814815,0.018518518518518517,0.0,Kevin S. Parker RECAP,0.9814814814814815
52081,52081,100,184,14,0,152,350,336,14,0,0.5257142857142857,0.04,0.0,0.4342857142857143,0.96,0.04,0.0,Kevin S. Parker RECAP,0.96
52082,52082,100,153,12,1,93,259,246,12,1,0.5907335907335908,0.04633204633204633,0.003861003861003861,0.3590733590733591,0.9498069498069498,0.04633204633204633,0.003861003861003861,Kevin S. Parker RECAP,0.9498069498069498
52083,52083,100,205,11,0,100,316,305,11,0,0.6487341772151899,0.03481012658227848,0.0,0.31645569620253167,0.9651898734177216,0.03481012658227848,0.0,Kevin S. Parker RECAP,0.9651898734177216
52084,52084,100,151,15,2,97,265,248,15,2,0.569811320754717,0.05660377358490566,0.007547169811320755,0.3660377358490566,0.9358490566037736,0.05660377358490566,0.007547169811320755,Kevin S. Parker RECAP,0.9358490566037736
52085,52085,100,158,13,1,82,254,240,13,1,0.6220472440944882,0.051181102362204724,0.003937007874015748,0.3228346456692913,0.9448818897637795,0.051181102362204724,0.003937007874015748,Kevin S. Parker RECAP,0.9448818897637795
52086,52086,100,249,18,3,182,452,431,18,3,0.5508849557522124,0.03982300884955752,0.00663716814159292,0.4026548672566372,0.9535398230088495,0.03982300884955752,0.00663716814159292,Kevin S. Parker RECAP,0.9535398230088495
52092,52092,100,159,28,1,90,278,249,28,1,0.5719424460431655,0.10071942446043165,0.0035971223021582736,0.3237410071942446,0.89568345323741,0.10071942446043165,0.0035971223021582736,Kevin S. Parker RECAP,0.89568345323741
52101,52101,100,153,23,0,78,254,231,23,0,0.6023622047244095,0.09055118110236221,0.0,0.30708661417322836,0.9094488188976378,0.09055118110236221,0.0,Kevin S. Parker RECAP,0.9094488188976378
52103,52103,100,131,19,3,73,226,204,19,3,0.5796460176991151,0.084070796460177,0.01327433628318584,0.3230088495575221,0.9026548672566371,0.084070796460177,0.01327433628318584,Kevin S. Parker RECAP,0.9026548672566371
57086,57086,100,277,6,0,61,344,338,6,0,0.8052325581395349,0.01744186046511628,0.0,0.17732558139534885,0.9825581395348837,0.01744186046511628,0.0,Kevin S. Parker RECAP,0.9825581395348837
57087,57087,100,43,1,0,17,61,60,1,0,0.7049180327868853,0.01639344262295082,0.0,0.2786885245901639,0.9836065573770492,0.01639344262295082,0.0,Kevin S. Parker RECAP,0.9836065573770492
58016,58016,100,143,0,0,8,151,151,0,0,0.9470198675496688,0.0,0.0,0.052980132450331126,1.0,0.0,0.0,Kevin S. Parker RECAP,1.0
58017,58017,100,155,0,0,6,161,161,0,0,0.9627329192546584,0.0,0.0,0.037267080745341616,1.0,0.0,0.0,Kevin S. Parker RECAP,1.0
58018,58018,100,209,3,1,9,222,218,3,1,0.9414414414414415,0.013513513513513514,0.0045045045045045045,0.04054054054054054,0.9819819819819819,0.013513513513513514,0.0045045045045045045,Kevin S. Parker RECAP,0.9819819819819819
58019,58019,100,269,1,0,9,279,278,1,0,0.96415770609319,0.0035842293906810036,0.0,0.03225806451612903,0.996415770609319,0.0035842293906810036,0.0,Kevin S. Parker RECAP,0.996415770609319
58020,58020,100,233,3,0,7,243,240,3,0,0.9588477366255144,0.012345679012345678,0.0,0.02880658436213992,0.9876543209876543,0.012345679012345678,0.0,Kevin S. Parker RECAP,0.9876543209876543
58021,58021,100,229,3,1,12,245,241,3,1,0.9346938775510204,0.012244897959183673,0.004081632653061225,0.04897959183673469,0.9836734693877551,0.012244897959183673,0.004081632653061225,Kevin S. Parker RECAP,0.9836734693877551
58022,58022,100,131,1,0,5,137,136,1,0,0.9562043795620438,0.0072992700729927005,0.0,0.0364963503649635,0.9927007299270073,0.0072992700729927005,0.0,Kevin S. Parker RECAP,0.9927007299270073
58023,58023,100,197,1,0,6,204,203,1,0,0.9656862745098039,0.004901960784313725,0.0,0.029411764705882353,0.9950980392156863,0.004901960784313725,0.0,Kevin S. Parker RECAP,0.9950980392156863
58024,58024,100,277,3,0,8,288,285,3,0,0.9618055555555556,0.010416666666666666,0.0,0.027777777777777776,0.9895833333333334,0.010416666666666666,0.0,Kevin S. Parker RECAP,0.9895833333333334
58025,58025,100,281,10,0,10,301,291,10,0,0.9335548172757475,0.03322259136212625,0.0,0.03322259136212625,0.9667774086378738,0.03322259136212625,0.0,Kevin S. Parker RECAP,0.9667774086378738
58026,58026,100,311,8,0,19,338,330,8,0,0.9201183431952663,0.023668639053254437,0.0,0.05621301775147929,0.9763313609467456,0.023668639053254437,0.0,Kevin S. Parker RECAP,0.9763313609467456
58027,58027,100,207,7,0,8,222,215,7,0,0.9324324324324325,0.03153153153153153,0.0,0.036036036036036036,0.9684684684684685,0.03153153153153153,0.0,Kevin S. Parker RECAP,0.9684684684684685
58028,58028,100,234,8,0,20,262,254,8,0,0.8931297709923665,0.030534351145038167,0.0,0.07633587786259542,0.9694656488549618,0.030534351145038167,0.0,Kevin S. Parker RECAP,0.9694656488549618
58029,58029,100,185,8,1,15,209,200,8,1,0.8851674641148325,0.03827751196172249,0.004784688995215311,0.07177033492822966,0.9569377990430622,0.03827751196172249,0.004784688995215311,Kevin S. Parker RECAP,0.9569377990430622
58030,58030,100,290,9,0,15,314,305,9,0,0.9235668789808917,0.028662420382165606,0.0,0.04777070063694268,0.9713375796178344,0.028662420382165606,0.0,Kevin S. Parker RECAP,0.9713375796178344
58031,58031,100,250,4,0,8,262,258,4,0,0.9541984732824428,0.015267175572519083,0.0,0.030534351145038167,0.9847328244274809,0.015267175572519083,0.0,Kevin S. Parker RECAP,0.9847328244274809
58032,58032,100,227,4,0,10,241,237,4,0,0.941908713692946,0.016597510373443983,0.0,0.04149377593360996,0.983402489626556,0.016597510373443983,0.0,Kevin S. Parker RECAP,0.983402489626556
58033,58033,100,275,1,2,6,284,281,1,2,0.9683098591549296,0.0035211267605633804,0.007042253521126761,0.02112676056338028,0.9894366197183099,0.0035211267605633804,0.007042253521126761,Kevin S. Parker RECAP,0.9894366197183099
58034,58034,100,191,3,0,10,204,201,3,0,0.9362745098039216,0.014705882352941176,0.0,0.049019607843137254,0.9852941176470589,0.014705882352941176,0.0,Kevin S. Parker RECAP,0.9852941176470589
58035,58035,100,169,1,0,3,173,172,1,0,0.976878612716763,0.005780346820809248,0.0,0.017341040462427744,0.9942196531791907,0.005780346820809248,0.0,Kevin S. Parker RECAP,0.9942196531791907
58036,58036,100,122,0,0,3,125,125,0,0,0.976,0.0,0.0,0.024,1.0,0.0,0.0,Kevin S. Parker RECAP,1.0
58037,58037,100,289,9,0,8,306,297,9,0,0.9444444444444444,0.029411764705882353,0.0,0.026143790849673203,0.9705882352941176,0.029411764705882353,0.0,Kevin S. Parker RECAP,0.9705882352941176
58038,58038,100,197,4,0,9,210,206,4,0,0.9380952380952381,0.01904761904761905,0.0,0.04285714285714286,0.9809523809523809,0.01904761904761905,0.0,Kevin S. Parker RECAP,0.9809523809523809
58039,58039,100,231,4,0,10,245,241,4,0,0.9428571428571428,0.0163265306122449,0.0,0.04081632653061224,0.9836734693877551,0.0163265306122449,0.0,Kevin S. Parker RECAP,0.9836734693877551
58040,58040,100,113,2,0,9,124,122,2,0,0.9112903225806451,0.016129032258064516,0.0,0.07258064516129033,0.9838709677419355,0.016129032258064516,0.0,Kevin S. Parker RECAP,0.9838709677419355
58041,58041,100,202,5,0,8,215,210,5,0,0.9395348837209302,0.023255813953488372,0.0,0.037209302325581395,0.9767441860465116,0.023255813953488372,0.0,Kevin S. Parker RECAP,0.9767441860465116
58042,58042,100,116,1,0,4,121,120,1,0,0.9586776859504132,0.008264462809917356,0.0,0.03305785123966942,0.9917355371900827,0.008264462809917356,0.0,Kevin S. Parker RECAP,0.9917355371900827
58043,58043,100,249,1,0,5,255,254,1,0,0.9764705882352941,0.00392156862745098,0.0,0.0196078431372549,0.996078431372549,0.00392156862745098,0.0,Kevin S. Parker RECAP,0.996078431372549
58044,58044,100,118,3,0,2,123,120,3,0,0.959349593495935,0.024390243902439025,0.0,0.016260162601626018,0.975609756097561,0.024390243902439025,0.0,Kevin S. Parker RECAP,0.975609756097561
58049,58049,100,197,4,0,4,205,201,4,0,0.9609756097560975,0.01951219512195122,0.0,0.01951219512195122,0.9804878048780488,0.01951219512195122,0.0,Kevin S. Parker RECAP,0.9804878048780488
58050,58050,100,175,5,0,9,189,184,5,0,0.9259259259259259,0.026455026455026454,0.0,0.047619047619047616,0.9735449735449735,0.026455026455026454,0.0,Kevin S. Parker RECAP,0.9735449735449735
58051,58051,100,156,1,0,6,163,162,1,0,0.9570552147239264,0.006134969325153374,0.0,0.03680981595092025,0.9938650306748467,0.006134969325153374,0.0,Kevin S. Parker RECAP,0.9938650306748467
58055,58055,100,205,4,0,4,213,209,4,0,0.9624413145539906,0.018779342723004695,0.0,0.018779342723004695,0.9812206572769953,0.018779342723004695,0.0,Kevin S. Parker RECAP,0.9812206572769953
58056,58056,100,90,1,0,5,96,95,1,0,0.9375,0.010416666666666666,0.0,0.052083333333333336,0.9895833333333334,0.010416666666666666,0.0,Kevin S. Parker RECAP,0.9895833333333334
58061,58061,100,238,2,0,8,248,246,2,0,0.9596774193548387,0.008064516129032258,0.0,0.03225806451612903,0.9919354838709677,0.008064516129032258,0.0,Kevin S. Parker RECAP,0.9919354838709677
58062,58062,100,248,1,0,10,259,258,1,0,0.9575289575289575,0.003861003861003861,0.0,0.03861003861003861,0.9961389961389961,0.003861003861003861,0.0,Kevin S. Parker RECAP,0.9961389961389961
58063,58063,100,157,3,0,2,162,159,3,0,0.9691358024691358,0.018518518518518517,0.0,0.012345679012345678,0.9814814814814815,0.018518518518518517,0.0,Kevin S. Parker RECAP,0.9814814814814815
58064,58064,100,142,6,0,4,152,146,6,0,0.9342105263157895,0.039473684210526314,0.0,0.02631578947368421,0.9605263157894737,0.039473684210526314,0.0,Kevin S. Parker RECAP,0.9605263157894737
59001,59001,100,119,3,0,2,124,121,3,0,0.9596774193548387,0.024193548387096774,0.0,0.016129032258064516,0.9758064516129032,0.024193548387096774,0.0,Kevin S. Parker RECAP,0.9758064516129032
59002,59002,100,116,6,0,1,123,117,6,0,0.943089430894309,0.04878048780487805,0.0,0.008130081300813009,0.9512195121951219,0.04878048780487805,0.0,Kevin S. Parker RECAP,0.9512195121951219
59003,59003,100,136,0,0,3,139,139,0,0,0.9784172661870504,0.0,0.0,0.02158273381294964,1.0,0.0,0.0,Kevin S. Parker RECAP,1.0
59004,59004,100,135,6,0,5,146,140,6,0,0.9246575342465754,0.0410958904109589,0.0,0.03424657534246575,0.958904109589041,0.0410958904109589,0.0,Kevin S. Parker RECAP,0.958904109589041
59017,59017,100,238,6,0,3,247,241,6,0,0.9635627530364372,0.024291497975708502,0.0,0.012145748987854251,0.9757085020242915,0.024291497975708502,0.0,Kevin S. Parker RECAP,0.9757085020242915
59018,59018,100,196,6,1,2,205,198,6,1,0.9560975609756097,0.02926829268292683,0.004878048780487805,0.00975609756097561,0.9658536585365853,0.02926829268292683,0.004878048780487805,Kevin S. Parker RECAP,0.9658536585365853
59020,59020,100,161,3,0,6,170,167,3,0,0.9470588235294117,0.01764705882352941,0.0,0.03529411764705882,0.9823529411764705,0.01764705882352941,0.0,Kevin S. Parker RECAP,0.9823529411764705
59021,59021,100,182,11,0,5,198,187,11,0,0.9191919191919192,0.05555555555555555,0.0,0.025252525252525252,0.9444444444444444,0.05555555555555555,0.0,Kevin S. Parker RECAP,0.9444444444444444
59022,59022,100,192,17,0,5,214,197,17,0,0.897196261682243,0.0794392523364486,0.0,0.02336448598130841,0.9205607476635514,0.0794392523364486,0.0,Kevin S. Parker RECAP,0.9205607476635514
59023,59023,100,104,12,0,5,121,109,12,0,0.859504132231405,0.09917355371900827,0.0,0.04132231404958678,0.9008264462809917,0.09917355371900827,0.0,Kevin S. Parker RECAP,0.9008264462809917
59077,59077,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
59078,59078,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
